bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 27, 0b111111111111111110110101001, 0b111111110111111011110111001, 0b111111111101111100011110111, 0b111111111111111110011100011, 0b111110010111111111110111101, 0b111110010110111111111101111, 0b111110010101111110111111111, 0b111111010111111010011111111, 0b111111100011111011011111111, 0b111111100011111111111111100, 0b110111100011111111111110111, 0b110111110101111111011110111, 
 26,  45212303,  62038671,  49374087,  49406487,  66298499,  66216583,  66204301,  32715406,  66073231,  49345163,  66122505,  66151305, 
 26, 0b10101100011110001010001111, 0b11101100101010001010001111, 0b10111100010110001110000111, 0b10111100011110001000010111, 0b11111100111010001010000011, 0b11111100100110001010000111, 0b11111100100011001010001101, 0b01111100110011001010001110, 0b11111100000011001010001111, 0b10111100001111001010001011, 0b11111100001111001100001001, 0b11111100010110001110001001, 
 25,  27753224,  27687683,  28831768,  28799368,  29258497,  32667393,  32764417,  32759849,  33013795,  27771435,  26722874,  28820536, 
 25, 0b1101001110111101100001000, 0b1101001100111101100000011, 0b1101101111111000000011000, 0b1101101110111000110001000, 0b1101111100111001100000001, 0b1111100100111011100000001, 0b1111100111111001000000001, 0b1111100111110000000101001, 0b1111101111100000000100011, 0b1101001111100001000101011, 0b1100101111100001000111010, 0b1101101111100010000111000, 
 24,  6814090,  6946186,  5189530,  7289738,  6928858,  7321754,  7272598,  3668118,  4717206,  13040282,  13627546,  5225626, 
 24, 0b011001111111100110001010, 0b011010011111110110001010, 0b010011110010111110011010, 0b011011110011101110001010, 0b011010011011100111011010, 0b011011111011100010011010, 0b011011101111100010010110, 0b001101111111100010010110, 0b010001111111101010010110, 0b110001101111101010011010, 0b110011111111000010011010, 0b010011111011110010011010, 
 23,  7301155,  8349744,  8347690,  8350752,  8190000,  3993653,  3991606,  3532839,  3438759,  3436974,  3633546,  3633195, 
 23, 0b11011110110100000100011, 0b11111110110100000110000, 0b11111110110000000101010, 0b11111110110110000100000, 0b11111001111100000110000, 0b01111001111000000110101, 0b01111001110100000110110, 0b01101011110100000100111, 0b01101000111100010100111, 0b01101000111000110101110, 0b01101110111000110001010, 0b01101110111000000101011, 
 22,  329856,  278657,  526480,  2687104,  802818,  81923,  135171,  790529,  918016,  1180416,  133378,  2130, 
 22, 0b0001010000100010000000, 0b0001000100000010000001, 0b0010000000100010010000, 0b1010010000000010000000, 0b0011000100000000000010, 0b0000010100000000000011, 0b0000100001000000000011, 0b0011000001000000000001, 0b0011100000001000000000, 0b0100100000001100000000, 0b0000100000100100000010, 0b0000000000100001010010, 
 21,  1241842,  1235704,  1220338,  1113840,  1220329,  1225451,  1278715,  1246206,  1283030,  1290740,  1162736,  1228017, 
 21, 0b100101111001011110010, 0b100101101101011111000, 0b100101001111011110010, 0b100001111111011110000, 0b100101001111011101001, 0b100101011001011101011, 0b100111000001011111011, 0b100110000001111111110, 0b100111001001111010110, 0b100111011000111110100, 0b100011011110111110000, 0b100101011110011110001, 
 20,  838433,  836489,  652064,  588321,  848009,  832073,  828073,  372905,  369209,  373298,  438840,  324400, 
 20, 0b11001100101100100001, 0b11001100001110001001, 0b10011111001100100000, 0b10001111101000100001, 0b11001111000010001001, 0b11001011001001001001, 0b11001010001010101001, 0b01011011000010101001, 0b01011010001000111001, 0b01011011001000110010, 0b01101011001000111000, 0b01001111001100110000, 
 19,  410034,  140210,  397980,  398002,  107440,  33722,  927,  270495,  401467,  401590,  402076,  458910, 
 19, 0b1100100000110110010, 0b0100010001110110010, 0b1100001001010011100, 0b1100001001010110010, 0b0011010001110110000, 0b0001000001110111010, 0b0000000001110011111, 0b1000010000010011111, 0b1100010000000111011, 0b1100010000010110110, 0b1100010001010011100, 0b1110000000010011110, 
 18,  254202,  189370,  160250,  181754,  238267,  250553,  119486,  62127,  47022,  193964,  160252,  28927, 
 18, 0b111110000011111010, 0b101110001110111010, 0b100111000111111010, 0b101100010111111010, 0b111010001010111011, 0b111101001010111001, 0b011101001010111110, 0b001111001010101111, 0b001011011110101110, 0b101111010110101100, 0b100111000111111100, 0b000111000011111111, 
 17,  113800,  127368,  107674,  95384,  102840,  105256,  104201,  103439,  39183,  72719,  78878,  107574, 
 17, 0b11011110010001000, 0b11111000110001000, 0b11010010010011010, 0b10111010010011000, 0b11001000110111000, 0b11001101100101000, 0b11001011100001001, 0b11001010000001111, 0b01001100100001111, 0b10001110000001111, 0b10011010000011110, 0b11010010000110110, 
 16,  12288,  192,  20480,  1028,  272,  4097,  320,  10240,  72,  132,  1088,  136, 
 16, 0b0011000000000000, 0b0000000011000000, 0b0101000000000000, 0b0000010000000100, 0b0000000100010000, 0b0001000000000001, 0b0000000101000000, 0b0010100000000000, 0b0000000001001000, 0b0000000010000100, 0b0000010001000000, 0b0000000010001000, 
 15,  112,  1048,  4288,  20512,  1537,  12289,  2305,  8512,  578,  641,  4640,  4114, 
 15, 0b000000001110000, 0b000010000011000, 0b001000011000000, 0b101000000100000, 0b000011000000001, 0b011000000000001, 0b000100100000001, 0b010000101000000, 0b000001001000010, 0b000001010000001, 0b001001000100000, 0b001000000010010, 
 14,  580,  2114,  3074,  1036,  35,  3073,  5632,  4105,  266,  12290,  8464,  4114, 
 14, 0b00001001000100, 0b00100001000010, 0b00110000000010, 0b00010000001100, 0b00000000100011, 0b00110000000001, 0b01011000000000, 0b01000000001001, 0b00000100001010, 0b11000000000010, 0b10000100010000, 0b01000000010010, 
 13,  4909,  7468,  5844,  5916,  5740,  764,  445,  5041,  6323,  5554,  5331,  1754, 
 13, 0b1001100101101, 0b1110100101100, 0b1011011010100, 0b1011100011100, 0b1011001101100, 0b0001011111100, 0b0000110111101, 0b1001110110001, 0b1100010110011, 0b1010110110010, 0b1010011010011, 0b0011011011010, 
 12,  2304,  1028,  260,  33,  514,  65,  516,  9,  258,  520,  192,  1026, 
 12, 0b100100000000, 0b010000000100, 0b000100000100, 0b000000100001, 0b001000000010, 0b000001000001, 0b001000000100, 0b000000001001, 0b000100000010, 0b001000001000, 0b000011000000, 0b010000000010, 
 11,  1316,  1424,  1328,  424,  1352,  201,  147,  1232,  1297,  323,  402,  1043, 
 11, 0b10100100100, 0b10110010000, 0b10100110000, 0b00110101000, 0b10101001000, 0b00011001001, 0b00010010011, 0b10011010000, 0b10100010001, 0b00101000011, 0b00110010010, 0b10000010011, 
 10,  735,  891,  751,  503,  1020,  759,  893,  495,  703,  975,  383,  990, 
 10, 0b1011011111, 0b1101111011, 0b1011101111, 0b0111110111, 0b1111111100, 0b1011110111, 0b1101111101, 0b0111101111, 0b1010111111, 0b1111001111, 0b0101111111, 0b1111011110, 
 9,  205,  188,  301,  398,  309,  185,  496,  460,  79,  158,  47,  307, 
 9, 0b011001101, 0b010111100, 0b100101101, 0b110001110, 0b100110101, 0b010111001, 0b111110000, 0b111001100, 0b001001111, 0b010011110, 0b000101111, 0b100110011, 
 8,  241,  218,  47,  236,  244,  233,  93,  143,  179,  248,  214,  205, 
 8, 0b11110001, 0b11011010, 0b00101111, 0b11101100, 0b11110100, 0b11101001, 0b01011101, 0b10001111, 0b10110011, 0b11111000, 0b11010110, 0b11001101, 
 7,  81,  76,  88,  11,  82,  28,  69,  25,  44,  26,  7,  49, 
 7, 0b1010001, 0b1001100, 0b1011000, 0b0001011, 0b1010010, 0b0011100, 0b1000101, 0b0011001, 0b0101100, 0b0011010, 0b0000111, 0b0110001, 
 6,  57,  30,  23,  46,  53,  15,  60,  27,  39,  29,  51,  45, 
 6, 0b111001, 0b011110, 0b010111, 0b101110, 0b110101, 0b001111, 0b111100, 0b011011, 0b100111, 0b011101, 0b110011, 0b101101, 
