bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 30,  81943857,  79920177,  88235377,  889343345,  69623153,  362896688,  296508720,  295853424,  296385856,  363486496,  362962193,  358776065,  212032561,  486702369,  84573489,  69893233,  338304369,  355077985,  354443105,  352931681,  355032353,  355097904,  352476474,  77847601,  620911926,  606231861,  75718449,  354573617,  354608433,  69401905,  78798129,  78708001, 
 30, 0b000100111000100101110100110001, 0b000100110000110111110000110001, 0b000101010000100101110101110001, 0b110101000000100100110101110001, 0b000100001001100101110101110001, 0b010101101000010101110100110000, 0b010001101011000101110100110000, 0b010001101000100101110101110000, 0b010001101010100111110101000000, 0b010101101010100101110100100000, 0b010101101000100101110100010001, 0b010101011000100111110100000001, 0b001100101000110101110000110001, 0b011101000000100111110100100001, 0b000101000010100111110100110001, 0b000100001010100111110001110001, 0b010100001010100001110101110001, 0b010101001010100000111101100001, 0b010101001000000101111101100001, 0b010101000010010100111101100001, 0b010101001010010101110100100001, 0b010101001010100101110100110000, 0b010101000000100101110100111010, 0b000100101000111101110000110001, 0b100101000000100101110100110110, 0b100100001000100101110100110101, 0b000100100000110101111100110001, 0b010101001000100101110100110001, 0b010101001000101110010100110001, 0b000100001000101111110100110001, 0b000100101100100101110100110001, 0b000100101100001111110100100001, 
 29,  214103740,  482473148,  214627956,  202047094,  135853822,  235599594,  205190888,  205186804,  204732132,  205059820,  187758316,  170587884,  214038201,  120256204,  235599820,  168818380,  210499276,  201979644,  201815804,  204109564,  134905598,  151682803,  151680765,  146929404,  151123709,  202503932,  281278140,  202045180,  207287028,  139654908,  139130868,  139130835, 
 29, 0b01100110000101111011010111100, 0b11100110000011111010010111100, 0b01100110010101111011001110100, 0b01100000010101111111001110110, 0b01000000110001111011011111110, 0b01110000010101111011011101010, 0b01100001110101111011011101000, 0b01100001110101110011011110100, 0b01100001100111111011011100100, 0b01100001110001111011011101100, 0b01011001100001111011011101100, 0b01010001010101111011011101100, 0b01100110000011111011010111001, 0b00111001010101111011011001100, 0b01110000010101111011111001100, 0b01010000011111111011011001100, 0b01100100010111111011011001100, 0b01100000010011111011011111100, 0b01100000001110111011011111100, 0b01100001010100111011011111100, 0b01000000010100111111011111110, 0b01001000010100111111011110011, 0b01001000010100111011011111101, 0b01000110000011111011011111100, 0b01001000000011111011011111101, 0b01100000100011111011011111100, 0b10000110000111111011010111100, 0b01100000010101111011011111100, 0b01100010110101111001011110100, 0b01000010100101111011011111100, 0b01000010010101111011111110100, 0b01000010010101111011111010011, 
 28,  255238916,  255766784,  263490308,  263359264,  255232268,  250710788,  242715392,  188189441,  204966659,  204966668,  202361612,  252168964,  255251200,  258444032,  259099456,  259165056,  254970704,  254958160,  254991104,  262327056,  186895124,  184795927,  254001940,  255238466,  255050560,  255232832,  259432720,  255036164,  252874502,  255101702,  263228172,  260737804, 
 28, 0b1111001101101010001100000100, 0b1111001111101011000100000000, 0b1111101101001000101100000100, 0b1111101100101000101100100000, 0b1111001101101000100100001100, 0b1110111100011000101100000100, 0b1110011101111000101100000000, 0b1011001101111000101100000001, 0b1100001101111000101100000011, 0b1100001101111000101100001100, 0b1100000011111100101100001100, 0b1111000001111100101100000100, 0b1111001101101101001100000000, 0b1111011001111000101100000000, 0b1111011100011000101101000000, 0b1111011100101000101110000000, 0b1111001100101000101101010000, 0b1111001100100101101001010000, 0b1111001100101101101100000000, 0b1111101000101100101100010000, 0b1011001000111100101100010100, 0b1011000000111100001100010111, 0b1111001000111100001100010100, 0b1111001101101010000101000010, 0b1111001100111100001101000000, 0b1111001101101000101101000000, 0b1111011101101010000100010000, 0b1111001100111000101100000100, 0b1111000100101000111100000110, 0b1111001101001000101100000110, 0b1111101100001000101100001100, 0b1111100010101000101100001100, 
 27,  25966666,  25246282,  17676298,  637130,  17799360,  25213129,  8501450,  702666,  5814346,  571610,  17348638,  17676300,  25229386,  17725452,  84703304,  84750440,  84785160,  84457485,  17348805,  19462336,  19708000,  19706160,  19708224,  92878858,  86913344,  86816832,  25705226,  17610952,  21805121,  26130496,  29669568,  29599936, 
 27, 0b001100011000011100001001010, 0b001100000010011101001001010, 0b001000011011011100000001010, 0b000000010011011100011001010, 0b001000011111001100011000000, 0b001100000001011100011001001, 0b000100000011011100011001010, 0b000000010101011100011001010, 0b000010110001011100001001010, 0b000000010001011100011011010, 0b001000010001011100000011110, 0b001000011011011100000001100, 0b001100000001111100001001010, 0b001000011100111100000001100, 0b101000011000111100001001000, 0b101000011010011000001101000, 0b101000011011011100000001000, 0b101000010001011100000001101, 0b001000010001011100011000101, 0b001001010001111100011000000, 0b001001011001011100001100000, 0b001001011001011000100110000, 0b001001011001011100101000000, 0b101100010010011100000001010, 0b101001011100011000101000000, 0b101001011001011100001000000, 0b001100010000011101100001010, 0b001000011001011100011001000, 0b001010011001011100001000001, 0b001100011101011100001000000, 0b001110001001011100011000000, 0b001110000111010100011000000, 
 26,  15860853,  15926332,  15925372,  14876783,  15811685,  15926377,  11748429,  11764814,  7570518,  7538290,  15926884,  15926791,  7537719,  15806983,  15934982,  15863558,  7540262,  4656934,  5441382,  7538034,  24249462,  24118455,  32506983,  15867965,  28313198,  32573028,  16254013,  15926374,  15927908,  14878309,  11764837,  13861221, 
 26, 0b00111100100000010001110101, 0b00111100110000010000111100, 0b00111100110000000001111100, 0b00111000110000000001101111, 0b00111100010100010001100101, 0b00111100110000010001101001, 0b00101100110100010001001101, 0b00101100111000010001001110, 0b00011100111000010001010110, 0b00011100110000011001110010, 0b00111100110000011001100100, 0b00111100110000011000000111, 0b00011100110000010000110111, 0b00111100010011001000000111, 0b00111100110010011000000110, 0b00111100100000111100000110, 0b00011100110000111000100110, 0b00010001110000111100100110, 0b00010100110000011101100110, 0b00011100110000010101110010, 0b01011100100000010001110110, 0b01011100000000010010110111, 0b01111100000000010001100111, 0b00111100100010000000111101, 0b01101100000000011001101110, 0b01111100010000011001100100, 0b00111110000000010000111101, 0b00111100110000010001100110, 0b00111100110000101001100100, 0b00111000110000011001100101, 0b00101100111000010001100101, 0b00110100111000000101100101, 
 25,  2558113,  2562178,  19335185,  20187281,  3653760,  2560641,  19071649,  3539617,  2556549,  2556562,  2491078,  3539139,  19351680,  4063378,  1769619,  1246097,  11731217,  11599929,  15794321,  13705745,  9904145,  9773202,  9765265,  2576513,  1394049,  3494017,  3098752,  3604625,  3342499,  3608736,  4063408,  1984672, 
 25, 0b0001001110000100010100001, 0b0001001110001100010000010, 0b1001001110000100000010001, 0b1001101000000100010010001, 0b0001101111100000010000000, 0b0001001110001001010000001, 0b1001000110000001010100001, 0b0001101100000001010100001, 0b0001001110000001010000101, 0b0001001110000001010010010, 0b0001001100000001011000110, 0b0001101100000000011000011, 0b1001001110100100010000000, 0b0001111100000000010010010, 0b0000110110000000010010011, 0b0000100110000001110010001, 0b0101100110000000100010001, 0b0101100010000000000111001, 0b0111100010000000010010001, 0b0110100010010001000010001, 0b0100101110010000000010001, 0b0100101010010000010010010, 0b0100101010000000110010001, 0b0001001110101000010000001, 0b0000101010100010110000001, 0b0001101010101000010000001, 0b0001011110100100010000000, 0b0001101110000000010010001, 0b0001100110000000010100011, 0b0001101110001000010100000, 0b0001111100000000010110000, 0b0000111100100100010100000, 
 24,  2442014,  83743,  3492366,  3621644,  1328046,  3752718,  3753038,  4080654,  1991182,  935694,  10766094,  16008206,  3228431,  13910798,  16008964,  16016136,  3498764,  3475244,  2180910,  14762796,  16007948,  13943558,  15991566,  2426399,  7684876,  7619150,  2184734,  3426062,  3564046,  3424830,  1066814,  1201934, 
 24, 0b001001010100001100011110, 0b000000010100011100011111, 0b001101010100101000001110, 0b001101110100001100001100, 0b000101000100001110101110, 0b001110010100001100001110, 0b001110010100010001001110, 0b001111100100010000001110, 0b000111100110001000001110, 0b000011100100011100001110, 0b101001000100011100001110, 0b111101000100010000001110, 0b001100010100001100001111, 0b110101000100001100001110, 0b111101000100011100000100, 0b111101000110001100001000, 0b001101010110001100001100, 0b001101010000011100101100, 0b001000010100011100101110, 0b111000010100001100101100, 0b111101000100001100001100, 0b110101001100001100000110, 0b111101000000001100001110, 0b001001010000011000011111, 0b011101010100001100001100, 0b011101000100001001001110, 0b001000010101011000011110, 0b001101000100011100001110, 0b001101100110001000001110, 0b001101000100001000111110, 0b000100000100011100111110, 0b000100100101011100001110, 
 23,  2522962,  3563283,  6455090,  7372626,  4341752,  6454366,  6434654,  6482778,  7531610,  5437786,  195066,  4389498,  2293523,  1305210,  4419194,  4222970,  4341746,  32755,  163705,  450409,  4644696,  1245016,  1211739,  3554899,  163322,  4226810,  3636754,  4357978,  155611,  163826,  4337658,  4337471, 
 23, 0b01001100111111101010010, 0b01101100101111100010011, 0b11000100111111100110010, 0b11100000111111101010010, 0b10000100011111111111000, 0b11000100111110001011110, 0b11000100010111101011110, 0b11000101110101101011010, 0b11100101110110001011010, 0b10100101111100101011010, 0b00000101111100111111010, 0b10000101111101001111010, 0b01000101111111100010011, 0b00100111110101001111010, 0b10000110110111001111010, 0b10000000110111111111010, 0b10000100011111111110010, 0b00000000111111111110011, 0b00000100111111101111001, 0b00001101101111101101001, 0b10001101101111101011000, 0b00100101111111101011000, 0b00100100111110101011011, 0b01101100011111001010011, 0b00000100111110111111010, 0b10000000111111011111010, 0b01101110111111000010010, 0b10000100111111101011010, 0b00000100101111111011011, 0b00000100111111111110010, 0b10000100010111111111010, 0b10000100010111100111111, 
 22,  3944694,  3949302,  3944878,  4141326,  3945940,  3945743,  3940671,  3998047,  4002909,  4010329,  4010450,  2437598,  3933686,  3608926,  4063583,  3813726,  3748127,  4005983,  3989598,  4006110,  3224030,  3155423,  3941719,  3941109,  832855,  3977555,  4006518,  3944798,  3159391,  3945559,  3946589,  2898780, 
 22, 0b1111000011000011110110, 0b1111000100001011110110, 0b1111000011000110101110, 0b1111110011000100001110, 0b1111000011010111010100, 0b1111000011010100001111, 0b1111000010000100111111, 0b1111010000000101011111, 0b1111010001010001011101, 0b1111010011000101011001, 0b1111010011000111010010, 0b1001010011000111011110, 0b1111000000010111110110, 0b1101110001000101011110, 0b1111100000000101011111, 0b1110100011000101011110, 0b1110010011000100011111, 0b1111010010000001011111, 0b1111001110000001011110, 0b1111010010000011011110, 0b1100010011000111011110, 0b1100000010010111011111, 0b1111000010010101010111, 0b1111000010001011110101, 0b0011001011010101010111, 0b1111001011000101010011, 0b1111010010001001110110, 0b1111000011000101011110, 0b1100000011010101011111, 0b1111000011010001010111, 0b1111000011100001011101, 0b1011000011101101011100, 
 21,  897807,  113439,  1882639,  964111,  1045027,  2076837,  2095140,  2080260,  2077228,  2094596,  2055940,  2070277,  1176335,  2003727,  2085387,  2084915,  2064951,  2077206,  2060814,  1538063,  1568791,  1044534,  2027543,  834079,  1897223,  2007823,  389663,  2077191,  1028391,  979719,  1569031,  1560727, 
 21, 0b011011011001100001111, 0b000011011101100011111, 0b111001011101000001111, 0b011101011011000001111, 0b011111111001000100011, 0b111111011000010100101, 0b111111111100000100100, 0b111111011111000000100, 0b111111011001000101100, 0b111111111011000000100, 0b111110101111100000100, 0b111111001011100000101, 0b100011111001100001111, 0b111101001001100001111, 0b111111101001000001011, 0b111111101000000110011, 0b111111000001000110111, 0b111111011001000010110, 0b111110111001000001110, 0b101110111100000001111, 0b101111111000000010111, 0b011111111000000110110, 0b111101111000000010111, 0b011001011101000011111, 0b111001111001100000111, 0b111101010001100001111, 0b001011111001000011111, 0b111111011001000000111, 0b011111011000100100111, 0b011101111001100000111, 0b101111111000100000111, 0b101111101000010010111, 
 20,  1032246,  509478,  902174,  901199,  966876,  1002584,  773146,  770842,  762458,  705115,  770079,  761950,  520230,  258134,  774227,  766041,  1024600,  1036376,  708699,  681051,  704859,  967128,  835931,  508007,  1016139,  958810,  1032711,  1032282,  968762,  974878,  836190,  820186, 
 20, 0b11111100000000110110, 0b01111100011000100110, 0b11011100010000011110, 0b11011100000001001111, 0b11101100000011011100, 0b11110100110001011000, 0b10111100110000011010, 0b10111100001100011010, 0b10111010001001011010, 0b10101100001001011011, 0b10111100000000011111, 0b10111010000001011110, 0b01111111000000100110, 0b00111111000001010110, 0b10111101000001010011, 0b10111011000001011001, 0b11111010001001011000, 0b11111101000001011000, 0b10101101000001011011, 0b10100110010001011011, 0b10101100000101011011, 0b11101100000111011000, 0b11001100000101011011, 0b01111100000001100111, 0b11111000000101001011, 0b11101010000101011010, 0b11111100001000000111, 0b11111100000001011010, 0b11101100100000111010, 0b11101110000000011110, 0b11001100001001011110, 0b11001000001111011010, 
 19,  440422,  404326,  403822,  303471,  487750,  242446,  194316,  62798,  46894,  439594,  439371,  471119,  416358,  483599,  471371,  405966,  307407,  241807,  176350,  45471,  46415,  308523,  434479,  420966,  426478,  401775,  469095,  438606,  438886,  405990,  439174,  426895, 
 19, 0b1101011100001100110, 0b1100010101101100110, 0b1100010100101101110, 0b1001010000101101111, 0b1110111000101000110, 0b0111011001100001110, 0b0101111011100001100, 0b0001111010101001110, 0b0001011011100101110, 0b1101011010100101010, 0b1101011010001001011, 0b1110011000001001111, 0b1100101101001100110, 0b1110110000100001111, 0b1110011000101001011, 0b1100011000111001110, 0b1001011000011001111, 0b0111011000010001111, 0b0101011000011011110, 0b0001011000110011111, 0b0001011010101001111, 0b1001011010100101011, 0b1101010000100101111, 0b1100110110001100110, 0b1101000000111101110, 0b1100010000101101111, 0b1110010100001100111, 0b1101011000101001110, 0b1101011001001100110, 0b1100011000111100110, 0b1101011001110000110, 0b1101000001110001111, 
 18,  105656,  249008,  72765,  7327,  52908,  11933,  141725,  146076,  137901,  23468,  36780,  24488,  101617,  163208,  24460,  7996,  39485,  6271,  4862,  2783,  19134,  35574,  3829,  236768,  38581,  40626,  232664,  7868,  72632,  55992,  54460,  119837, 
 18, 0b011001110010111000, 0b111100110010110000, 0b010001110000111101, 0b000001110010011111, 0b001100111010101100, 0b000010111010011101, 0b100010100110011101, 0b100011101010011100, 0b100001101010101101, 0b000101101110101100, 0b001000111110101100, 0b000101111110101000, 0b011000110011110001, 0b100111110110001000, 0b000101111110001100, 0b000001111100111100, 0b001001101000111101, 0b000001100001111111, 0b000001001011111110, 0b000000101011011111, 0b000100101010111110, 0b001000101011110110, 0b000000111011110101, 0b111001110011100000, 0b001001011010110101, 0b001001111010110010, 0b111000110011011000, 0b000001111010111100, 0b010001101110111000, 0b001101101010111000, 0b001101010010111100, 0b011101010000011101, 
 17,  78512,  9137,  84656,  82800,  1462,  74403,  107057,  78386,  9018,  3000,  13224,  74154,  4787,  8633,  949,  70324,  71858,  67250,  34706,  34571,  34722,  103202,  4915,  8948,  38193,  6064,  74660,  66482,  1778,  67252,  76464,  76481, 
 17, 0b10011001010110000, 0b00010001110110001, 0b10100101010110000, 0b10100001101110000, 0b00000010110110110, 0b10010001010100011, 0b11010001000110001, 0b10011001000110010, 0b00010001100111010, 0b00000101110111000, 0b00011001110101000, 0b10010000110101010, 0b00001001010110011, 0b00010000110111001, 0b00000001110110101, 0b10001001010110100, 0b10001100010110010, 0b10000011010110010, 0b01000011110010010, 0b01000011100001011, 0b01000011110100010, 0b11001001100100010, 0b00001001100110011, 0b00010001011110100, 0b01001010100110001, 0b00001011110110000, 0b10010001110100100, 0b10000001110110010, 0b00000011011110010, 0b10000011010110100, 0b10010101010110000, 0b10010101011000001, 
 16,  57339,  63485,  49150,  65515,  65470,  62463,  57342,  61435,  65343,  63479,  65530,  63999,  45055,  53247,  65022,  65467,  48639,  65469,  24575,  65263,  61407,  65529,  64510,  65271,  65463,  62975,  64447,  65277,  64507,  65399,  61438,  49147, 
 16, 0b1101111111111011, 0b1111011111111101, 0b1011111111111110, 0b1111111111101011, 0b1111111110111110, 0b1111001111111111, 0b1101111111111110, 0b1110111111111011, 0b1111111100111111, 0b1111011111110111, 0b1111111111111010, 0b1111100111111111, 0b1010111111111111, 0b1100111111111111, 0b1111110111111110, 0b1111111110111011, 0b1011110111111111, 0b1111111110111101, 0b0101111111111111, 0b1111111011101111, 0b1110111111011111, 0b1111111111111001, 0b1111101111111110, 0b1111111011110111, 0b1111111110110111, 0b1111010111111111, 0b1111101110111111, 0b1111111011111101, 0b1111101111111011, 0b1111111101110111, 0b1110111111111110, 0b1011111111111011, 
 15,  8864,  24720,  10336,  2242,  1172,  8896,  8340,  2194,  2241,  10243,  8329,  25216,  16552,  16899,  26112,  3588,  3360,  1283,  3344,  1045,  9264,  8344,  8325,  17280,  8292,  3168,  8577,  11392,  1680,  17568,  3616,  804, 
 15, 0b010001010100000, 0b110000010010000, 0b010100001100000, 0b000100011000010, 0b000010010010100, 0b010001011000000, 0b010000010010100, 0b000100010010010, 0b000100011000001, 0b010100000000011, 0b010000010001001, 0b110001010000000, 0b100000010101000, 0b100001000000011, 0b110011000000000, 0b000111000000100, 0b000110100100000, 0b000010100000011, 0b000110100010000, 0b000010000010101, 0b010010000110000, 0b010000010011000, 0b010000010000101, 0b100001110000000, 0b010000001100100, 0b000110001100000, 0b010000110000001, 0b010110010000000, 0b000011010010000, 0b100010010100000, 0b000111000100000, 0b000001100100100, 
 14,  531,  139,  337,  579,  2121,  4620,  680,  4248,  13328,  1136,  1091,  78,  898,  556,  8296,  8388,  8769,  533,  8752,  537,  1556,  1576,  2608,  4241,  610,  523,  673,  600,  6224,  2074,  10312,  7176, 
 14, 0b00001000010011, 0b00000010001011, 0b00000101010001, 0b00001001000011, 0b00100001001001, 0b01001000001100, 0b00001010101000, 0b01000010011000, 0b11010000010000, 0b00010001110000, 0b00010001000011, 0b00000001001110, 0b00001110000010, 0b00001000101100, 0b10000001101000, 0b10000011000100, 0b10001001000001, 0b00001000010101, 0b10001000110000, 0b00001000011001, 0b00011000010100, 0b00011000101000, 0b00101000110000, 0b01000010010001, 0b00001001100010, 0b00001000001011, 0b00001010100001, 0b00001001011000, 0b01100001010000, 0b00100000011010, 0b10100001001000, 0b01110000001000, 
 13,  538,  6658,  4628,  6161,  1283,  4124,  4196,  5160,  1112,  4180,  1556,  1073,  4625,  1232,  1808,  771,  1091,  4115,  2130,  2055,  1035,  3201,  3082,  2640,  2067,  786,  706,  5138,  6168,  4362,  5129,  1539, 
 13, 0b0001000011010, 0b1101000000010, 0b1001000010100, 0b1100000010001, 0b0010100000011, 0b1000000011100, 0b1000001100100, 0b1010000101000, 0b0010001011000, 0b1000001010100, 0b0011000010100, 0b0010000110001, 0b1001000010001, 0b0010011010000, 0b0011100010000, 0b0001100000011, 0b0010001000011, 0b1000000010011, 0b0100001010010, 0b0100000000111, 0b0010000001011, 0b0110010000001, 0b0110000001010, 0b0101001010000, 0b0100000010011, 0b0001100010010, 0b0001011000010, 0b1010000010010, 0b1100000011000, 0b1000100001010, 0b1010000001001, 0b0011000000011, 
 12,  1275,  1743,  1391,  2430,  3891,  3485,  3982,  3694,  3855,  3687,  3446,  3766,  3795,  3863,  3422,  2554,  3315,  3449,  3293,  3539,  1247,  2782,  3291,  2003,  4056,  3867,  1502,  3135,  255,  2491,  3322,  3287, 
 12, 0b010011111011, 0b011011001111, 0b010101101111, 0b100101111110, 0b111100110011, 0b110110011101, 0b111110001110, 0b111001101110, 0b111100001111, 0b111001100111, 0b110101110110, 0b111010110110, 0b111011010011, 0b111100010111, 0b110101011110, 0b100111111010, 0b110011110011, 0b110101111001, 0b110011011101, 0b110111010011, 0b010011011111, 0b101011011110, 0b110011011011, 0b011111010011, 0b111111011000, 0b111100011011, 0b010111011110, 0b110000111111, 0b000011111111, 0b100110111011, 0b110011111010, 0b110011010111, 
 11,  620,  1140,  1832,  805,  1798,  333,  206,  157,  1196,  1417,  1173,  1113,  566,  59,  271,  409,  809,  625,  1109,  1114,  93,  587,  604,  94,  286,  1180,  1101,  1549,  1193,  1700,  1317,  789, 
 11, 0b01001101100, 0b10001110100, 0b11100101000, 0b01100100101, 0b11100000110, 0b00101001101, 0b00011001110, 0b00010011101, 0b10010101100, 0b10110001001, 0b10010010101, 0b10001011001, 0b01000110110, 0b00000111011, 0b00100001111, 0b00110011001, 0b01100101001, 0b01001110001, 0b10001010101, 0b10001011010, 0b00001011101, 0b01001001011, 0b01001011100, 0b00001011110, 0b00100011110, 0b10010011100, 0b10001001101, 0b11000001101, 0b10010101001, 0b11010100100, 0b10100100101, 0b01100010101, 
