bits,  st_state_1,  st_state_10,  st_state_11,  st_state_12,  st_state_13,  st_state_14,  st_state_15,  st_state_16,  st_state_17,  st_state_18,  st_state_19,  st_state_2,  st_state_20,  st_state_20_n,  st_state_21,  st_state_22,  st_state_23,  st_state_24,  st_state_25,  st_state_26,  st_state_27,  st_state_2_n,  st_state_3,  st_state_4,  st_state_4_n,  st_state_5,  st_state_6,  st_state_7,  st_state_8,  st_state_9, 
 30,  854476813,  317610245,  552491023,  854481160,  854464525,  820923653,  586045964,  854481924,  581851405,  586062092,  820959244,  820959237,  586078468,  586140416,  854481153,  586109196,  820664589,  820665357,  583981069,  552491277,  854477068,  852293637,  586046476,  586049804,  57567501,  820926732,  583948557,  586074126,  586046469,  552519949, 
 30, 0b110010111011100100100000001101, 0b010010111011100101100100000101, 0b100000111011100101100000001111, 0b110010111011100101100100001000, 0b110010111011100001100000001101, 0b110000111011100100110100000101, 0b100010111011100101101000001100, 0b110010111011100101110000000100, 0b100010101011100101100100001101, 0b100010111011101001100100001100, 0b110000111011101101100000001100, 0b110000111011101101100000000101, 0b100010111011101101100100000100, 0b100010111011111100101100000000, 0b110010111011100101100100000001, 0b100010111011110101000100001100, 0b110000111010100101100100001101, 0b110000111010100101110000001101, 0b100010110011101101100000001101, 0b100000111011100101100100001101, 0b110010111011100100100100001100, 0b110010110011001111100000000101, 0b100010111011100101110000001100, 0b100010111011100110100100001100, 0b000011011011100110100100001101, 0b110000111011100101100100001100, 0b100010110011100101100100001101, 0b100010111011101100100000001110, 0b100010111011100101110000000101, 0b100000111011101100100100001101, 
 29,  314673582,  316770590,  298158502,  315198222,  331712782,  331385246,  281906060,  331450542,  281921678,  315476492,  332236814,  315197598,  331975052,  322537868,  315394446,  307071788,  298420622,  298617230,  332237188,  315459740,  315197838,  449347998,  315459878,  315427628,  315427087,  315459756,  317557004,  315459916,  281381278,  314935708, 
 29, 0b10010110000011000100110101110, 0b10010111000011000100100011110, 0b10001110001011000100110100110, 0b10010110010011000101100001110, 0b10011110001011000100100001110, 0b10011110000001000100110011110, 0b10000110011011000101110001100, 0b10011110000011000100010101110, 0b10000110011011100100010001110, 0b10010110011011100101000001100, 0b10011110011011000100000001110, 0b10010110010011000100010011110, 0b10011110010011000100110001100, 0b10011001110011000100110001100, 0b10010110011001000100110001110, 0b10010010011011000101100101100, 0b10001110010011000100110001110, 0b10001110011001000100110001110, 0b10011110011011000100110000100, 0b10010110011011000100010011100, 0b10010110010011000100110001110, 0b11010110010001000000110011110, 0b10010110011011000100100100110, 0b10010110011010000101100101100, 0b10010110011010000100100001111, 0b10010110011011000100010101100, 0b10010111011011000100100001100, 0b10010110011011000100101001100, 0b10000110001011000100110011110, 0b10010110001011000100110011100, 
 28,  128907855,  112127823,  93256655,  126287695,  93318991,  128909126,  26214223,  110034767,  126803791,  244252239,  243792719,  118423375,  245824847,  228916575,  28245839,  61669199,  126876487,  126876494,  226950991,  193396559,  61796175,  119734223,  126779215,  193920335,  261086541,  126876751,  43974479,  110099791,  94830415,  61799759, 
 28, 0b0111101011101111101001001111, 0b0110101011101110111101001111, 0b0101100011101111101111001111, 0b0111100001101111111101001111, 0b0101100011111110111101001111, 0b0111101011101111111101000110, 0b0001100011111111111101001111, 0b0110100011101111111101001111, 0b0111100011101101111101001111, 0b1110100011101111111001001111, 0b1110100001111111101101001111, 0b0111000011101111111101001111, 0b1110101001101111110101001111, 0b1101101001001111110101011111, 0b0001101011101111111101001111, 0b0011101011001111111101001111, 0b0111100011111111101101000111, 0b0111100011111111101101001110, 0b1101100001101111111101001111, 0b1011100001101111111101001111, 0b0011101011101110111101001111, 0b0111001000101111111111001111, 0b0111100011100111111101001111, 0b1011100011101111110101001111, 0b1111100011111101110101001101, 0b0111100011111111110001001111, 0b0010100111101111111101001111, 0b0110100011111111110101001111, 0b0101101001101111111101001111, 0b0011101011101111110101001111, 
 27,  33169918,  33194367,  31138175,  16720254,  33170814,  33177855,  33169791,  66724094,  16650623,  33489023,  67051644,  33423807,  33237118,  33368159,  100270463,  33198462,  33431679,  66723967,  33251454,  100540542,  33424511,  33440446,  33202303,  133824639,  116011135,  33165567,  33181823,  100343933,  33440126,  33227135, 
 27, 0b001111110100010000111111110, 0b001111110101000000101111111, 0b001110110110010000101111111, 0b000111111110010000101111110, 0b001111110100010010101111110, 0b001111110100100000011111111, 0b001111110100010000101111111, 0b011111110100010000011111110, 0b000111111100001000101111111, 0b001111111110000000001111111, 0b011111111110010000001111100, 0b001111111100000000110111111, 0b001111110110010100001111110, 0b001111111010010100001011111, 0b101111110100000000101111111, 0b001111110101001000101111110, 0b001111111100010000001111111, 0b011111110100010000001111111, 0b001111110110110000001111110, 0b101111111100010000001111110, 0b001111111100000010001111111, 0b001111111100100001010111110, 0b001111110101010000001111111, 0b111111110100000000001111111, 0b110111010100011000001111111, 0b001111110100001000011111111, 0b001111110100101000001111111, 0b101111110110010000001111101, 0b001111111100100000101111110, 0b001111110110000000101111111, 
 26,  60758745,  60762715,  60791506,  60791498,  60496603,  60756575,  60791379,  60535387,  60758235,  60790863,  60789342,  60791323,  60791385,  67050072,  60774491,  60791139,  60758686,  60789465,  64985688,  60758615,  60528735,  60807729,  60791371,  60799299,  59750770,  60799065,  60787035,  60791130,  60234363,  60788955, 
 26, 0b11100111110001101011011001, 0b11100111110010101001011011, 0b11100111111001101011010010, 0b11100111111001101011001010, 0b11100110110001101011011011, 0b11100111110001001001011111, 0b11100111111001101001010011, 0b11100110111011001001011011, 0b11100111110001100011011011, 0b11100111111001100001001111, 0b11100111111001001001011110, 0b11100111111001101000011011, 0b11100111111001101001011001, 0b11111111110001101001011000, 0b11100111110101100001011011, 0b11100111111001100101100011, 0b11100111110001101010011110, 0b11100111111001001011011001, 0b11110111111001101001011000, 0b11100111110001101001010111, 0b11100110111001100001011111, 0b11100111111101101000110001, 0b11100111111001101001001011, 0b11100111111011100101000011, 0b11100011111011100101110010, 0b11100111111011100001011001, 0b11100111111000100101011011, 0b11100111111001100101011010, 0b11100101110001101001111011, 0b11100111111001000011011011, 
 25,  26865746,  25817538,  12120402,  26862274,  26800338,  30994754,  27127874,  26802246,  26800454,  25752262,  26931394,  30011666,  25819330,  17365198,  30077010,  26013767,  26931474,  10023394,  26800242,  30208194,  26931778,  25295123,  28897350,  27914818,  11268673,  30011462,  25948230,  28111042,  31256594,  26079554, 
 25, 0b1100110011111000001010010, 0b1100010011111000111000010, 0b0101110001111000101010010, 0b1100110011110001011000010, 0b1100110001111000011010010, 0b1110110001111000101000010, 0b1100111011111000001000010, 0b1100110001111100001000110, 0b1100110001111000101000110, 0b1100010001111001011000110, 0b1100110101111000011000010, 0b1110010011111000100010010, 0b1100010011111100011000010, 0b1000010001111100011001110, 0b1110010101111000001010010, 0b1100011001111000001000111, 0b1100110101111000100010010, 0b0100110001111000111100010, 0b1100110001111000001110010, 0b1110011001111000011000010, 0b1100110101111001001000010, 0b1100000011111100100010011, 0b1101110001111000001000110, 0b1101010011111001001000010, 0b0101010111111001001000001, 0b1110010011111000001000110, 0b1100010111111000001000110, 0b1101011001111000011000010, 0b1110111001111000000010010, 0b1100011011111000101000010, 
 24,  16450925,  16453197,  16402029,  16459596,  16467725,  16451343,  16713485,  16402254,  16418701,  16455437,  16467740,  16451245,  16500300,  8112972,  16458541,  16451436,  16385853,  16451133,  16467277,  16484140,  16485645,  15664828,  16483917,  16451215,  8325775,  16451532,  16467501,  16484110,  15435661,  16451182, 
 24, 0b111110110000010101101101, 0b111110110000111001001101, 0b111110100100011001101101, 0b111110110010011101001100, 0b111110110100011100001101, 0b111110110000011100001111, 0b111111110000011100001101, 0b111110100100011101001110, 0b111110101000011110001101, 0b111110110001011100001101, 0b111110110100011100011100, 0b111110110000011010101101, 0b111110111100011001001100, 0b011110111100101101001100, 0b111110110010001100101101, 0b111110110000011101101100, 0b111110100000011100111101, 0b111110110000011000111101, 0b111110110100010101001101, 0b111110111000011100101100, 0b111110111000110100001101, 0b111011110000011010111100, 0b111110111000011001001101, 0b111110110000011010001111, 0b011111110000101010001111, 0b111110110000011111001100, 0b111110110100011000101101, 0b111110111000011100001110, 0b111010111000011110001101, 0b111110110000011001101110, 
 23,  147948,  18922,  2114026,  213222,  16871,  84204,  213450,  65775,  4276650,  213480,  197038,  24814,  196734,  135293,  82410,  2245096,  18862,  147694,  2294242,  196971,  84450,  2154574,  156130,  74218,  664040,  16875,  131578,  197106,  82155,  66030, 
 23, 0b00000100100000111101100, 0b00000000100100111101010, 0b01000000100000111101010, 0b00000110100000011100110, 0b00000000100000111100111, 0b00000010100100011101100, 0b00000110100000111001010, 0b00000010000000011101111, 0b10000010100000110101010, 0b00000110100000111101000, 0b00000110000000110101110, 0b00000000110000011101110, 0b00000110000000001111110, 0b00000100001000001111101, 0b00000010100000111101010, 0b01000100100000111101000, 0b00000000100100110101110, 0b00000100100000011101110, 0b01000110000000111100010, 0b00000110000000101101011, 0b00000010100100111100010, 0b01000001110000001001110, 0b00000100110000111100010, 0b00000010010000111101010, 0b00010100010000111101000, 0b00000000100000111101011, 0b00000100000000111111010, 0b00000110000000111110010, 0b00000010100000011101011, 0b00000010000000111101110, 
 22,  2761164,  729452,  925932,  2826348,  983149,  3801452,  2761038,  2822252,  2302316,  2634092,  2240622,  2631020,  2306408,  2298473,  663917,  664940,  2760813,  3018860,  668012,  2237804,  2818381,  2659628,  926029,  2892236,  2894784,  3015020,  794990,  2502988,  926060,  2236782, 
 22, 0b1010100010000111001100, 0b0010110010000101101100, 0b0011100010000011101100, 0b1010110010000001101100, 0b0011110000000001101101, 0b1110100000000101101100, 0b1010100010000101001110, 0b1010110001000001101100, 0b1000110010000101101100, 0b1010000011000101101100, 0b1000100011000001101110, 0b1010000010010101101100, 0b1000110011000101101000, 0b1000110001001001101001, 0b0010100010000101101101, 0b0010100010010101101100, 0b1010100010000001101101, 0b1011100001000001101100, 0b0010100011000101101100, 0b1000100010010101101100, 0b1010110000000101001101, 0b1010001001010100101100, 0b0011100010000101001101, 0b1011000010000111001100, 0b1011000010101111000000, 0b1011100000000101101100, 0b0011000010000101101110, 0b1001100011000101001100, 0b0011100010000101101100, 0b1000100010000101101110, 
 21,  545561,  1594248,  86929,  1069969,  545744,  545684,  1659776,  545612,  611120,  1659649,  545669,  545580,  1594132,  1660948,  545697,  1266436,  611208,  545555,  1069972,  676625,  1577904,  578352,  1659664,  742176,  774660,  873224,  1594148,  611140,  676744,  807685, 
 21, 0b010000101001100011001, 0b110000101001110001000, 0b000010101001110010001, 0b100000101001110010001, 0b010000101001111010000, 0b010000101001110010100, 0b110010101001110000000, 0b010000101001101001100, 0b010010101001100110000, 0b110010101001100000001, 0b010000101001110000101, 0b010000101001100101100, 0b110000101001100010100, 0b110010101100000010100, 0b010000101001110100001, 0b100110101001100000100, 0b010010101001110001000, 0b010000101001100010011, 0b100000101001110010100, 0b010100101001100010001, 0b110000001001110110000, 0b010001101001100110000, 0b110010101001100010000, 0b010110101001100100000, 0b010111101001000000100, 0b011010101001100001000, 0b110000101001100100100, 0b010010101001101000100, 0b010100101001110001000, 0b011000101001100000101, 
 20,  711169,  756227,  1036289,  780289,  510465,  967171,  980992,  961025,  454659,  964609,  502785,  584195,  1024003,  892942,  183043,  514050,  976897,  969729,  449537,  436739,  453122,  580354,  446979,  970761,  1036292,  848385,  968707,  520193,  944641,  716803, 
 20, 0b10101101101000000001, 0b10111000101000000011, 0b11111101000000000001, 0b10111110100000000001, 0b01111100101000000001, 0b11101100001000000011, 0b11101111100000000000, 0b11101010101000000001, 0b01101111000000000011, 0b11101011100000000001, 0b01111010110000000001, 0b10001110101000000011, 0b11111010000000000011, 0b11011010000000001110, 0b00101100101100000011, 0b01111101100000000010, 0b11101110100000000001, 0b11101100110000000001, 0b01101101110000000001, 0b01101010101000000011, 0b01101110101000000010, 0b10001101101100000010, 0b01101101001000000011, 0b11101101000000001001, 0b11111101000000000100, 0b11001111001000000001, 0b11101100100000000011, 0b01111111000000000001, 0b11100110101000000001, 0b10101111000000000011, 
 19,  278274,  146978,  273699,  273955,  278304,  424450,  15523,  408224,  277680,  274336,  404641,  309794,  405280,  404748,  32290,  13611,  408610,  405026,  142387,  278049,  293922,  389154,  15666,  28066,  31938,  276898,  14242,  146848,  278146,  146210, 
 19, 0b1000011111100000010, 0b0100011111000100010, 0b1000010110100100011, 0b1000010111000100011, 0b1000011111100100000, 0b1100111101000000010, 0b0000011110010100011, 0b1100011101010100000, 0b1000011110010110000, 0b1000010111110100000, 0b1100010110010100001, 0b1001011101000100010, 0b1100010111100100000, 0b1100010110100001100, 0b0000111111000100010, 0b0000011010100101011, 0b1100011110000100010, 0b1100010111000100010, 0b0100010110000110011, 0b1000011111000100001, 0b1000111110000100010, 0b1011111000000100010, 0b0000011110100110010, 0b0000110110110100010, 0b0000111110011000010, 0b1000011100110100010, 0b0000011011110100010, 0b0100011110110100000, 0b1000011111010000010, 0b0100011101100100010, 
 18,  147232,  135088,  208641,  208161,  69537,  159616,  143264,  207745,  174977,  142129,  206609,  153504,  75681,  77664,  135074,  141794,  141217,  92033,  142225,  208672,  135043,  141224,  142753,  133041,  139168,  144289,  134113,  157473,  151329,  141280, 
 18, 0b100011111100100000, 0b100000111110110000, 0b110010111100000001, 0b110010110100100001, 0b010000111110100001, 0b100110111110000000, 0b100010111110100000, 0b110010101110000001, 0b101010101110000001, 0b100010101100110001, 0b110010011100010001, 0b100101011110100000, 0b010010011110100001, 0b010010111101100000, 0b100000111110100010, 0b100010100111100010, 0b100010011110100001, 0b010110011110000001, 0b100010101110010001, 0b110010111100100000, 0b100000111110000011, 0b100010011110101000, 0b100010110110100001, 0b100000011110110001, 0b100001111110100000, 0b100011001110100001, 0b100000101111100001, 0b100110011100100001, 0b100100111100100001, 0b100010011111100000, 
 17,  18478,  17166,  10318,  20008,  19470,  19978,  18490,  50202,  18955,  51736,  51242,  50190,  52738,  117764,  52258,  17454,  35342,  92170,  10283,  50728,  17435,  66575,  24591,  26652,  50204,  59402,  51214,  27146,  17706,  27654, 
 17, 0b00100100000101110, 0b00100001100001110, 0b00010100001001110, 0b00100111000101000, 0b00100110000001110, 0b00100111000001010, 0b00100100000111010, 0b01100010000011010, 0b00100101000001011, 0b01100101000011000, 0b01100100000101010, 0b01100010000001110, 0b01100111000000010, 0b11100110000000100, 0b01100110000100010, 0b00100010000101110, 0b01000101000001110, 0b10110100000001010, 0b00010100000101011, 0b01100011000101000, 0b00100010000011011, 0b10000010000001111, 0b00110000000001111, 0b00110100000011100, 0b01100010000011100, 0b01110100000001010, 0b01100100000001110, 0b00110101000001010, 0b00100010100101010, 0b00110110000000110, 
 16,  2579,  3079,  2694,  2588,  2571,  32791,  35333,  47,  2644,  2101,  2156,  1051,  2602,  18467,  34841,  39456,  2078,  34830,  2119,  2217,  583,  5187,  2597,  32813,  1070,  541,  34851,  2063,  2077,  33291, 
 16, 0b0000101000010011, 0b0000110000000111, 0b0000101010000110, 0b0000101000011100, 0b0000101000001011, 0b1000000000010111, 0b1000101000000101, 0b0000000000101111, 0b0000101001010100, 0b0000100000110101, 0b0000100001101100, 0b0000010000011011, 0b0000101000101010, 0b0100100000100011, 0b1000100000011001, 0b1001101000100000, 0b0000100000011110, 0b1000100000001110, 0b0000100001000111, 0b0000100010101001, 0b0000001001000111, 0b0001010001000011, 0b0000101000100101, 0b1000000000101101, 0b0000010000101110, 0b0000001000011101, 0b1000100000100011, 0b0000100000001111, 0b0000100000011101, 0b1000001000001011, 
 15,  1152,  4097,  576,  4160,  16392,  16896,  272,  8320,  192,  10240,  528,  8448,  3,  4608,  17,  8196,  2050,  4352,  160,  264,  8193,  24,  2304,  1028,  768,  33,  16386,  4128,  1056,  2064, 
 15, 0b000010010000000, 0b001000000000001, 0b000001001000000, 0b001000001000000, 0b100000000001000, 0b100001000000000, 0b000000100010000, 0b010000010000000, 0b000000011000000, 0b010100000000000, 0b000001000010000, 0b010000100000000, 0b000000000000011, 0b001001000000000, 0b000000000010001, 0b010000000000100, 0b000100000000010, 0b001000100000000, 0b000000010100000, 0b000000100001000, 0b010000000000001, 0b000000000011000, 0b000100100000000, 0b000010000000100, 0b000001100000000, 0b000000000100001, 0b100000000000010, 0b001000000100000, 0b000010000100000, 0b000100000010000, 
 14,  2176,  272,  1056,  4352,  8200,  8224,  1536,  2304,  132,  2560,  34,  4160,  8196,  9,  513,  96,  17,  192,  4097,  1032,  65,  288,  768,  144,  264,  33,  12288,  4104,  3,  1280, 
 14, 0b00100010000000, 0b00000100010000, 0b00010000100000, 0b01000100000000, 0b10000000001000, 0b10000000100000, 0b00011000000000, 0b00100100000000, 0b00000010000100, 0b00101000000000, 0b00000000100010, 0b01000001000000, 0b10000000000100, 0b00000000001001, 0b00001000000001, 0b00000001100000, 0b00000000010001, 0b00000011000000, 0b01000000000001, 0b00010000001000, 0b00000001000001, 0b00000100100000, 0b00001100000000, 0b00000010010000, 0b00000100001000, 0b00000000100001, 0b11000000000000, 0b01000000001000, 0b00000000000011, 0b00010100000000, 
 13,  6394,  7594,  6207,  2239,  6567,  6319,  5183,  7350,  3262,  5279,  4791,  7230,  1271,  3135,  7398,  7335,  7347,  2295,  7349,  6359,  7319,  5309,  6838,  5806,  4335,  4542,  7356,  4350,  6431,  5307, 
 13, 0b1100011111010, 0b1110110101010, 0b1100000111111, 0b0100010111111, 0b1100110100111, 0b1100010101111, 0b1010000111111, 0b1110010110110, 0b0110010111110, 0b1010010011111, 0b1001010110111, 0b1110000111110, 0b0010011110111, 0b0110000111111, 0b1110011100110, 0b1110010100111, 0b1110010110011, 0b0100011110111, 0b1110010110101, 0b1100011010111, 0b1110010010111, 0b1010010111101, 0b1101010110110, 0b1011010101110, 0b1000011101111, 0b1000110111110, 0b1110010111100, 0b1000011111110, 0b1100100011111, 0b1010010111011, 
 12,  3074,  515,  2068,  262,  2082,  2624,  84,  112,  328,  1092,  2368,  1089,  76,  133,  2053,  2072,  82,  2057,  280,  388,  2320,  3328,  530,  322,  38,  1296,  14,  577,  194,  1540, 
 12, 0b110000000010, 0b001000000011, 0b100000010100, 0b000100000110, 0b100000100010, 0b101001000000, 0b000001010100, 0b000001110000, 0b000101001000, 0b010001000100, 0b100101000000, 0b010001000001, 0b000001001100, 0b000010000101, 0b100000000101, 0b100000011000, 0b000001010010, 0b100000001001, 0b000100011000, 0b000110000100, 0b100100010000, 0b110100000000, 0b001000010010, 0b000101000010, 0b000000100110, 0b010100010000, 0b000000001110, 0b001001000001, 0b000011000010, 0b011000000100, 
 11,  360,  568,  270,  308,  172,  736,  424,  432,  240,  561,  353,  116,  51,  368,  804,  387,  452,  418,  306,  45,  1128,  464,  43,  153,  1217,  1080,  777,  120,  177,  816, 
 11, 0b00101101000, 0b01000111000, 0b00100001110, 0b00100110100, 0b00010101100, 0b01011100000, 0b00110101000, 0b00110110000, 0b00011110000, 0b01000110001, 0b00101100001, 0b00001110100, 0b00000110011, 0b00101110000, 0b01100100100, 0b00110000011, 0b00111000100, 0b00110100010, 0b00100110010, 0b00000101101, 0b10001101000, 0b00111010000, 0b00000101011, 0b00010011001, 0b10011000001, 0b10000111000, 0b01100001001, 0b00001111000, 0b00010110001, 0b01100110000, 
 10,  503,  1017,  990,  703,  887,  735,  1013,  447,  863,  1006,  983,  894,  1018,  893,  957,  766,  955,  507,  891,  383,  510,  759,  1005,  831,  999,  763,  479,  255,  1003,  943, 
 10, 0b0111110111, 0b1111111001, 0b1111011110, 0b1010111111, 0b1101110111, 0b1011011111, 0b1111110101, 0b0110111111, 0b1101011111, 0b1111101110, 0b1111010111, 0b1101111110, 0b1111111010, 0b1101111101, 0b1110111101, 0b1011111110, 0b1110111011, 0b0111111011, 0b1101111011, 0b0101111111, 0b0111111110, 0b1011110111, 0b1111101101, 0b1100111111, 0b1111100111, 0b1011111011, 0b0111011111, 0b0011111111, 0b1111101011, 0b1110101111, 
 9,  356,  277,  449,  53,  135,  270,  150,  275,  389,  284,  297,  338,  163,  293,  291,  340,  418,  75,  153,  27,  29,  263,  204,  464,  325,  85,  420,  184,  202,  54, 
 9, 0b101100100, 0b100010101, 0b111000001, 0b000110101, 0b010000111, 0b100001110, 0b010010110, 0b100010011, 0b110000101, 0b100011100, 0b100101001, 0b101010010, 0b010100011, 0b100100101, 0b100100011, 0b101010100, 0b110100010, 0b001001011, 0b010011001, 0b000011011, 0b000011101, 0b100000111, 0b011001100, 0b111010000, 0b101000101, 0b001010101, 0b110100100, 0b010111000, 0b011001010, 0b000110110, 
 8,  201,  163,  156,  101,  23,  71,  60,  209,  149,  195,  232,  106,  180,  198,  92,  177,  45,  90,  89,  114,  142,  225,  210,  85,  78,  228,  27,  153,  166,  113, 
