bits,  st_IOwait,  st_IOwait_n,  st_RMACK,  st_RMACK_n,  st_START,  st_WMACK,  st_WMACK_n,  st_init0,  st_init0_n,  st_init1,  st_init1_n,  st_init2,  st_init4,  st_init4_n,  st_read0,  st_read1,  st_write0, 
 24, 0b110100001110110011111101, 0b110100001110111111001101, 0b011100001110110111011101, 0b011100011000110111111101, 0b000110011111011111001101, 0b110100001110101101111101, 0b110100001101111101101101, 0b110000011111011111001101, 0b110100011111011011010101, 0b110100011111110011001101, 0b110000011111110111101100, 0b110100010110110111101101, 0b110100000111110101111101, 0b110100000111111011011101, 0b111100001100110111101101, 0b111100001100111010111101, 0b110100001100111111111100, 
 23,  127170,  1108162,  1169600,  1102064,  246466,  1177602,  1304704,  2343105,  5488832,  3260610,  2148547,  116934,  116162,  62912,  1241280,  1175617,  1161408, 
 23, 0b00000011111000011000010, 0b00100001110100011000010, 0b00100011101100011000000, 0b00100001101000011110000, 0b00000111100001011000010, 0b00100011111100000000010, 0b00100111110100010000000, 0b01000111100000011000001, 0b10100111100000011000000, 0b01100011100000011000010, 0b01000001100100011000011, 0b00000011100100011000110, 0b00000011100010111000010, 0b00000001111010111000000, 0b00100101111000011000000, 0b00100011111000001000001, 0b00100011011100011000000, 
 22,  3192128,  3191856,  3191584,  3252993,  586755,  1160464,  1291008,  61539,  2158882,  3190882,  3256368,  3190992,  3322432,  3453000,  3253536,  3187936,  1226016, 
 22, 0b1100001011010101000000, 0b1100001011010000110000, 0b1100001011001100100000, 0b1100011010001100000001, 0b0010001111010000000011, 0b0100011011010100010000, 0b0100111011001100000000, 0b0000001111000001100011, 0b1000001111000100100010, 0b1100001011000001100010, 0b1100011011000000110000, 0b1100001011000011010000, 0b1100101011001001000000, 0b1101001011000001001000, 0b1100011010010100100000, 0b1100001010010011100000, 0b0100101011010100100000, 
 21,  135247,  1184782,  152652,  17741,  1232901,  138316,  1442892,  152077,  180750,  135950,  132654,  5647,  131631,  197197,  21519,  1359,  132302, 
 21, 0b000100001000001001111, 0b100100001010000001110, 0b000100101010001001100, 0b000000100010101001101, 0b100101101000000000101, 0b000100001110001001100, 0b101100000010001001100, 0b000100101001000001101, 0b000101100001000001110, 0b000100001001100001110, 0b000100000011000101110, 0b000000001011000001111, 0b000100000001000101111, 0b000110000001001001101, 0b000000101010000001111, 0b000000000010101001111, 0b000100000010011001110, 
 20,  65315,  65504,  61379,  130435,  259129,  261920,  130826,  261296,  196320,  65201,  64931,  57059,  192099,  188227,  64739,  61410,  65324, 
 20, 0b00001111111100100011, 0b00001111111111100000, 0b00001110111111000011, 0b00011111110110000011, 0b00111111010000111001, 0b00111111111100100000, 0b00011111111100001010, 0b00111111110010110000, 0b00101111111011100000, 0b00001111111010110001, 0b00001111110110100011, 0b00001101111011100011, 0b00101110111001100011, 0b00101101111101000011, 0b00001111110011100011, 0b00001110111111100010, 0b00001111111100101100, 
 19,  443156,  459542,  346900,  118532,  144026,  475413,  459557,  267162,  398211,  410514,  279382,  394196,  148380,  184724,  214804,  397076,  475972, 
 19, 0b1101100001100010100, 0b1110000001100010110, 0b1010100101100010100, 0b0011100111100000100, 0b0100011001010011010, 0b1110100000100010101, 0b1110000001100100101, 0b1000001001110011010, 0b1100001001110000011, 0b1100100001110010010, 0b1000100001101010110, 0b1100000001111010100, 0b0100100001110011100, 0b0101101000110010100, 0b0110100011100010100, 0b1100000111100010100, 0b1110100001101000100, 
 18,  12548,  139276,  74244,  70400,  9312,  8213,  4241,  74753,  73888,  208896,  139270,  139552,  356,  278,  780,  65797,  135188, 
 18, 0b000011000100000100, 0b100010000000001100, 0b010010001000000100, 0b010001001100000000, 0b000010010001100000, 0b000010000000010101, 0b000001000010010001, 0b010010010000000001, 0b010010000010100000, 0b110011000000000000, 0b100010000000000110, 0b100010000100100000, 0b000000000101100100, 0b000000000100010110, 0b000000001100001100, 0b010000000100000101, 0b100001000000010100, 
 17,  4559,  45255,  8415,  77967,  887,  70855,  3783,  9335,  10423,  4343,  14487,  71879,  78278,  13260,  74183,  8685,  9671, 
 17, 0b00001000111001111, 0b01011000011000111, 0b00010000011011111, 0b10011000010001111, 0b00000001101110111, 0b10001010011000111, 0b00000111011000111, 0b00010010001110111, 0b00010100010110111, 0b00001000011110111, 0b00011100010010111, 0b10001100011000111, 0b10011000111000110, 0b00011001111001100, 0b10010000111000111, 0b00010000111101101, 0b00010010111000111, 
 16,  1665,  1542,  8707,  13313,  23,  2563,  27,  526,  4626,  771,  6658,  650,  37504,  17026,  9984,  2817,  533, 
 16, 0b0000011010000001, 0b0000011000000110, 0b0010001000000011, 0b0011010000000001, 0b0000000000010111, 0b0000101000000011, 0b0000000000011011, 0b0000001000001110, 0b0001001000010010, 0b0000001100000011, 0b0001101000000010, 0b0000001010001010, 0b1001001010000000, 0b0100001010000010, 0b0010011100000000, 0b0000101100000001, 0b0000001000010101, 
 15,  28800,  10384,  9352,  8577,  170,  24656,  8211,  150,  676,  4272,  8242,  12560,  20738,  13056,  8386,  8864,  16529, 
 15, 0b111000010000000, 0b010100010010000, 0b010010010001000, 0b010000110000001, 0b000000010101010, 0b110000001010000, 0b010000000010011, 0b000000010010110, 0b000001010100100, 0b001000010110000, 0b010000000110010, 0b011000100010000, 0b101000100000010, 0b011001100000000, 0b010000011000010, 0b010001010100000, 0b100000010010001, 
 14,  12737,  12696,  473,  8920,  921,  14544,  4316,  5010,  12563,  12706,  12626,  12490,  12620,  4493,  5072,  2513,  12520, 
 14, 0b11000111000001, 0b11000110011000, 0b00000111011001, 0b10001011011000, 0b00001110011001, 0b11100011010000, 0b01000011011100, 0b01001110010010, 0b11000100010011, 0b11000110100010, 0b11000101010010, 0b11000011001010, 0b11000101001100, 0b01000110001101, 0b01001111010000, 0b00100111010001, 0b11000011101000, 
 13,  6161,  7680,  6184,  58,  226,  2817,  2145,  4227,  4385,  6402,  2067,  4626,  83,  2136,  4632,  27,  3077, 
 13, 0b1100000010001, 0b1111000000000, 0b1100000101000, 0b0000000111010, 0b0000011100010, 0b0101100000001, 0b0100001100001, 0b1000010000011, 0b1000100100001, 0b1100100000010, 0b0100000010011, 0b1001000010010, 0b0000001010011, 0b0100001011000, 0b1001000011000, 0b0000000011011, 0b0110000000101, 
 12,  2062,  2146,  75,  114,  43,  58,  232,  2593,  2307,  2344,  354,  2818,  294,  534,  2067,  263,  2089, 
 12, 0b100000001110, 0b100001100010, 0b000001001011, 0b000001110010, 0b000000101011, 0b000000111010, 0b000011101000, 0b101000100001, 0b100100000011, 0b100100101000, 0b000101100010, 0b101100000010, 0b000100100110, 0b001000010110, 0b100000010011, 0b000100000111, 0b100000101001, 
 11,  381,  956,  827,  731,  1243,  1912,  1962,  1507,  875,  431,  719,  575,  883,  761,  1009,  1513,  1342, 
 11, 0b00101111101, 0b01110111100, 0b01100111011, 0b01011011011, 0b10011011011, 0b11101111000, 0b11110101010, 0b10111100011, 0b01101101011, 0b00110101111, 0b01011001111, 0b01000111111, 0b01101110011, 0b01011111001, 0b01111110001, 0b10111101001, 0b10100111110, 
 10,  466,  327,  213,  31,  47,  457,  779,  203,  460,  230,  566,  866,  227,  453,  598,  787,  707, 
 10, 0b0111010010, 0b0101000111, 0b0011010101, 0b0000011111, 0b0000101111, 0b0111001001, 0b1100001011, 0b0011001011, 0b0111001100, 0b0011100110, 0b1000110110, 0b1101100010, 0b0011100011, 0b0111000101, 0b1001010110, 0b1100010011, 0b1011000011, 
 9,  154,  177,  306,  394,  278,  114,  85,  58,  284,  89,  240,  195,  232,  396,  404,  387,  464, 
 9, 0b010011010, 0b010110001, 0b100110010, 0b110001010, 0b100010110, 0b001110010, 0b001010101, 0b000111010, 0b100011100, 0b001011001, 0b011110000, 0b011000011, 0b011101000, 0b110001100, 0b110010100, 0b110000011, 0b111010000, 
 8,  226,  139,  209,  163,  142,  150,  228,  77,  102,  90,  15,  204,  46,  120,  184,  43,  177, 
 8, 0b11100010, 0b10001011, 0b11010001, 0b10100011, 0b10001110, 0b10010110, 0b11100100, 0b01001101, 0b01100110, 0b01011010, 0b00001111, 0b11001100, 0b00101110, 0b01111000, 0b10111000, 0b00101011, 0b10110001, 
 7,  27,  114,  46,  29,  106,  53,  58,  51,  75,  85,  102,  60,  39,  113,  105,  78,  92, 
 7, 0b0011011, 0b1110010, 0b0101110, 0b0011101, 0b1101010, 0b0110101, 0b0111010, 0b0110011, 0b1001011, 0b1010101, 0b1100110, 0b0111100, 0b0100111, 0b1110001, 0b1101001, 0b1001110, 0b1011100, 
