bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st1_n,  st_st2,  st_st2_n,  st_st3,  st_st3_n,  st_st4,  st_st4_n,  st_st5,  st_st5_n,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st8_n,  st_st9,  st_st9_n, 
 22,  3074783,  2943991,  2944990,  2944863,  2289631,  3075998,  3079118,  2944759,  2932695,  3067863,  3077079,  4121335,  4125684,  4088830,  4142076,  4132860,  4013948,  3129180,  2948988,  3014501,  3014580,  3014358,  2948982,  3014430, 
 22, 0b1011101110101011011111, 0b1011001110101111110111, 0b1011001110111111011110, 0b1011001110111101011111, 0b1000101110111111011111, 0b1011101110111110011110, 0b1011101111101111001110, 0b1011001110111011110111, 0b1011001011111111010111, 0b1011101100111111010111, 0b1011101111001111010111, 0b1111101110001011110111, 0b1111101111001111110100, 0b1111100110001111111110, 0b1111110011001111111100, 0b1111110000111111111100, 0b1111010011111101111100, 0b1011111011111101011100, 0b1011001111111101111100, 0b1011011111111101100101, 0b1011011111111110110100, 0b1011011111111011010110, 0b1011001111111101110110, 0b1011011111111100011110, 
 21,  1458429,  1311231,  1443055,  287227,  283133,  811261,  348413,  1967354,  1966571,  930282,  1716707,  1719776,  1731042,  1894626,  2015714,  1036514,  1986787,  1466599,  1716455,  1454563,  1323255,  1323390,  1057279,  1335759, 
 21, 0b101100100000011111101, 0b101000000000111111111, 0b101100000010011101111, 0b001000110000111111011, 0b001000101000111111101, 0b011000110000011111101, 0b001010101000011111101, 0b111100000010011111010, 0b111100000000111101011, 0b011100011000111101010, 0b110100011000111100011, 0b110100011110111100000, 0b110100110100111100010, 0b111001110100011100010, 0b111101100000111100010, 0b011111101000011100010, 0b111100101000011100011, 0b101100110000011100111, 0b110100011000011100111, 0b101100011000111100011, 0b101000011000011110111, 0b101000011000101111110, 0b100000010000111111111, 0b101000110000111001111, 
 20,  843440,  843305,  712248,  1047554,  851075,  908930,  818850,  671544,  714552,  714283,  718361,  718529,  783905,  773921,  780068,  763238,  700198,  970502,  716302,  718926,  785420,  261656,  786176,  523521, 
 20, 0b11001101111010110000, 0b11001101111000101001, 0b10101101111000111000, 0b11111111110000000010, 0b11001111110010000011, 0b11011101111010000010, 0b11000111111010100010, 0b10100011111100111000, 0b10101110011100111000, 0b10101110011000101011, 0b10101111011000011001, 0b10101111011011000001, 0b10111111011000100001, 0b10111100111100100001, 0b10111110011100100100, 0b10111010010101100110, 0b10101010111100100110, 0b11101100111100000110, 0b10101110111000001110, 0b10101111100001001110, 0b10111111110000001100, 0b00111111111000011000, 0b10111111111100000000, 0b01111111110100000001, 
 19,  405476,  406508,  401132,  61410,  110506,  12270,  176044,  479980,  465638,  334311,  375014,  497863,  342223,  96974,  291535,  95119,  225487,  254607,  246991,  189902,  52687,  49663,  52723,  60905, 
 19, 0b1100010111111100100, 0b1100011001111101100, 0b1100001111011101100, 0b0001110111111100010, 0b0011010111110101010, 0b0000010111111101110, 0b0101010111110101100, 0b1110101001011101100, 0b1110001101011100110, 0b1010001100111100111, 0b1011011100011100110, 0b1111001100011000111, 0b1010011100011001111, 0b0010111101011001110, 0b1000111001011001111, 0b0010111001110001111, 0b0110111000011001111, 0b0111110001010001111, 0b0111100010011001111, 0b0101110010111001110, 0b0001100110111001111, 0b0001100000111111111, 0b0001100110111110011, 0b0001110110111101001, 
 18,  37,  131078,  16404,  14,  1154,  2051,  147457,  65808,  67588,  10241,  35072,  33796,  16644,  1030,  1344,  584,  266,  132098,  65542,  196,  131077,  65553,  65604,  12292, 
 18, 0b000000000000100101, 0b100000000000000110, 0b000100000000010100, 0b000000000000001110, 0b000000010010000010, 0b000000100000000011, 0b100100000000000001, 0b010000000100010000, 0b010000100000000100, 0b000010100000000001, 0b001000100100000000, 0b001000010000000100, 0b000100000100000100, 0b000000010000000110, 0b000000010101000000, 0b000000001001001000, 0b000000000100001010, 0b100000010000000010, 0b010000000000000110, 0b000000000011000100, 0b100000000000000101, 0b010000000000010001, 0b010000000001000100, 0b000011000000000100, 
 17,  49276,  49466,  98426,  35244,  2796,  34028,  49612,  34878,  32893,  49270,  114741,  114963,  117777,  117856,  52513,  118080,  124192,  57762,  57644,  59492,  60704,  117808,  117152,  22952, 
 17, 0b01100000001111100, 0b01100000100111010, 0b11000000001111010, 0b01000100110101100, 0b00000101011101100, 0b01000010011101100, 0b01100000111001100, 0b01000100000111110, 0b01000000001111101, 0b01100000001110110, 0b11100000000110101, 0b11100000100010011, 0b11100110000010001, 0b11100110001100000, 0b01100110100100001, 0b11100110101000000, 0b11110010100100000, 0b01110000110100010, 0b01110000100101100, 0b01110100001100100, 0b01110110100100000, 0b11100110000110000, 0b11100100110100000, 0b00101100110101000, 
 16,  1328,  60,  49200,  4868,  33544,  912,  1616,  49282,  178,  660,  1169,  8848,  180,  58,  8360,  153,  8472,  12816,  13568,  9360,  5168,  4880,  4180,  4236, 
 16, 0b0000010100110000, 0b0000000000111100, 0b1100000000110000, 0b0001001100000100, 0b1000001100001000, 0b0000001110010000, 0b0000011001010000, 0b1100000010000010, 0b0000000010110010, 0b0000001010010100, 0b0000010010010001, 0b0010001010010000, 0b0000000010110100, 0b0000000000111010, 0b0010000010101000, 0b0000000010011001, 0b0010000100011000, 0b0011001000010000, 0b0011010100000000, 0b0010010010010000, 0b0001010000110000, 0b0001001100010000, 0b0001000001010100, 0b0001000010001100, 
 15,  19656,  2505,  25032,  175,  1086,  17578,  19602,  8554,  9036,  12904,  9002,  25896,  19240,  11144,  19081,  921,  8843,  5770,  17038,  694,  16535,  12311,  287,  444, 
 15, 0b100110011001000, 0b000100111001001, 0b110000111001000, 0b000000010101111, 0b000010000111110, 0b100010010101010, 0b100110010010010, 0b010000101101010, 0b010001101001100, 0b011001001101000, 0b010001100101010, 0b110010100101000, 0b100101100101000, 0b010101110001000, 0b100101010001001, 0b000001110011001, 0b010001010001011, 0b001011010001010, 0b100001010001110, 0b000001010110110, 0b100000010010111, 0b011000000010111, 0b000000100011111, 0b000000110111100, 
 14,  14430,  14391,  12534,  14510,  12702,  15516,  13518,  503,  6387,  2271,  4349,  2302,  6351,  6830,  7215,  15438,  3407,  11851,  11721,  5581,  14025,  9948,  15564,  14539, 
 14, 0b11100001011110, 0b11100000110111, 0b11000011110110, 0b11100010101110, 0b11000110011110, 0b11110010011100, 0b11010011001110, 0b00000111110111, 0b01100011110011, 0b00100011011111, 0b01000011111101, 0b00100011111110, 0b01100011001111, 0b01101010101110, 0b01110000101111, 0b11110001001110, 0b00110101001111, 0b10111001001011, 0b10110111001001, 0b01010111001101, 0b11011011001001, 0b10011011011100, 0b11110011001100, 0b11100011001011, 
 13,  7162,  7614,  5055,  7631,  4055,  6107,  7803,  1919,  6527,  7791,  5375,  2815,  6623,  3070,  3327,  7645,  7535,  4047,  7917,  4863,  7415,  5503,  6591,  3581, 
 13, 0b1101111111010, 0b1110110111110, 0b1001110111111, 0b1110111001111, 0b0111111010111, 0b1011111011011, 0b1111001111011, 0b0011101111111, 0b1100101111111, 0b1111001101111, 0b1010011111111, 0b0101011111111, 0b1100111011111, 0b0101111111110, 0b0110011111111, 0b1110111011101, 0b1110101101111, 0b0111111001111, 0b1111011101101, 0b1001011111111, 0b1110011110111, 0b1010101111111, 0b1100110111111, 0b0110111111101, 
 12,  586,  3144,  1545,  1290,  1112,  1548,  537,  1066,  650,  562,  1050,  1122,  1584,  54,  538,  2073,  657,  2321,  777,  417,  1297,  282,  1052,  3344, 
 12, 0b001001001010, 0b110001001000, 0b011000001001, 0b010100001010, 0b010001011000, 0b011000001100, 0b001000011001, 0b010000101010, 0b001010001010, 0b001000110010, 0b010000011010, 0b010001100010, 0b011000110000, 0b000000110110, 0b001000011010, 0b100000011001, 0b001010010001, 0b100100010001, 0b001100001001, 0b000110100001, 0b010100010001, 0b000100011010, 0b010000011100, 0b110100010000, 
 11,  344,  712,  209,  1043,  195,  267,  326,  1161,  897,  291,  177,  562,  60,  1328,  240,  456,  198,  225,  141,  1220,  404,  1668,  1200,  1560, 
 11, 0b00101011000, 0b01011001000, 0b00011010001, 0b10000010011, 0b00011000011, 0b00100001011, 0b00101000110, 0b10010001001, 0b01110000001, 0b00100100011, 0b00010110001, 0b01000110010, 0b00000111100, 0b10100110000, 0b00011110000, 0b00111001000, 0b00011000110, 0b00011100001, 0b00010001101, 0b10011000100, 0b00110010100, 0b11010000100, 0b10010110000, 0b11000011000, 
 10,  816,  960,  610,  89,  71,  338,  534,  83,  720,  368,  561,  804,  60,  51,  101,  593,  449,  226,  165,  113,  705,  553,  785,  325, 
 10, 0b1100110000, 0b1111000000, 0b1001100010, 0b0001011001, 0b0001000111, 0b0101010010, 0b1000010110, 0b0001010011, 0b1011010000, 0b0101110000, 0b1000110001, 0b1100100100, 0b0000111100, 0b0000110011, 0b0001100101, 0b1001010001, 0b0111000001, 0b0011100010, 0b0010100101, 0b0001110001, 0b1011000001, 0b1000101001, 0b1100010001, 0b0101000101, 
 9,  83,  92,  329,  209,  417,  178,  368,  326,  204,  195,  330,  269,  201,  198,  332,  323,  202,  15,  390,  180,  306,  43,  184,  226, 
 9, 0b001010011, 0b001011100, 0b101001001, 0b011010001, 0b110100001, 0b010110010, 0b101110000, 0b101000110, 0b011001100, 0b011000011, 0b101001010, 0b100001101, 0b011001001, 0b011000110, 0b101001100, 0b101000011, 0b011001010, 0b000001111, 0b110000110, 0b010110100, 0b100110010, 0b000101011, 0b010111000, 0b011100010, 
 8,  225,  184,  212,  209,  204,  120,  45,  153,  60,  178,  165,  23,  57,  108,  141,  53,  89,  43,  154,  86,  29,  51,  75,  198, 
 8, 0b11100001, 0b10111000, 0b11010100, 0b11010001, 0b11001100, 0b01111000, 0b00101101, 0b10011001, 0b00111100, 0b10110010, 0b10100101, 0b00010111, 0b00111001, 0b01101100, 0b10001101, 0b00110101, 0b01011001, 0b00101011, 0b10011010, 0b01010110, 0b00011101, 0b00110011, 0b01001011, 0b11000110, 
 7,  29,  39,  116,  51,  60,  101,  86,  89,  30,  77,  57,  114,  23,  102,  43,  71,  108,  58,  113,  92,  45,  78,  85,  105, 
 7, 0b0011101, 0b0100111, 0b1110100, 0b0110011, 0b0111100, 0b1100101, 0b1010110, 0b1011001, 0b0011110, 0b1001101, 0b0111001, 0b1110010, 0b0010111, 0b1100110, 0b0101011, 0b1000111, 0b1101100, 0b0111010, 0b1110001, 0b1011100, 0b0101101, 0b1001110, 0b1010101, 0b1101001, 
