bits,  st_state_1,  st_state_10,  st_state_11,  st_state_12,  st_state_13,  st_state_14,  st_state_15,  st_state_2,  st_state_3,  st_state_4,  st_state_5,  st_state_6,  st_state_7,  st_state_8,  st_state_9, 
 23, 0b00011000001001100000010, 0b01011000000010100000010, 0b01010000000110000110000, 0b11011000000010000001000, 0b11011000000001000000010, 0b11001010000010000000010, 0b00011001000011001000000, 0b01011000000100000000011, 0b11010000000110000000010, 0b01011000000111000000000, 0b10011000000111000000000, 0b01011001000010000000010, 0b01001011000011000000000, 0b00011000000110100000010, 0b01011000001010000000010, 
 22,  1630472,  844296,  813570,  583232,  586880,  974864,  845826,  798216,  846848,  584200,  582920,  848128,  2940936,  813320,  1697792, 
 22, 0b0110001110000100001000, 0b0011001110001000001000, 0b0011000110101000000010, 0b0010001110011001000000, 0b0010001111010010000000, 0b0011101110000000010000, 0b0011001110100000000010, 0b0011000010111000001000, 0b0011001110110000000000, 0b0010001110101000001000, 0b0010001110010100001000, 0b0011001111000100000000, 0b1011001110000000001000, 0b0011000110100100001000, 0b0110011110100000000000, 
 21,  2022152,  1694536,  1866026,  1866344,  2021936,  1898552,  2029856,  1858377,  1858360,  1997128,  1987192,  1637168,  1866028,  1990216,  1989928, 
 21, 0b111101101101100001000, 0b110011101101101001000, 0b111000111100100101010, 0b111000111101001101000, 0b111101101101000110000, 0b111001111100000111000, 0b111101111100100100000, 0b111000101101101001001, 0b111000101101100111000, 0b111100111100101001000, 0b111100101001001111000, 0b110001111101100110000, 0b111000111100100101100, 0b111100101111001001000, 0b111100101110100101000, 
 20,  69392,  75025,  534049,  534400,  43394,  25377,  534273,  26384,  533265,  10018,  41872,  9091,  132897,  44800,  272144, 
 20, 0b00010000111100010000, 0b00010010010100010001, 0b10000010011000100001, 0b10000010011110000000, 0b00001010100110000010, 0b00000110001100100001, 0b10000010011100000001, 0b00000110011100010000, 0b10000010001100010001, 0b00000010011100100010, 0b00001010001110010000, 0b00000010001110000011, 0b00100000011100100001, 0b00001010111100000000, 0b01000010011100010000, 
 19,  19466,  2571,  100418,  49250,  65762,  115,  37123,  49163,  18499,  36938,  107,  69699,  331,  24650,  16490, 
 19, 0b0000100110000001010, 0b0000000101000001011, 0b0011000100001000010, 0b0001100000001100010, 0b0010000000011100010, 0b0000000000001110011, 0b0001001000100000011, 0b0001100000000001011, 0b0000100100001000011, 0b0001001000001001010, 0b0000000000001101011, 0b0010001000001000011, 0b0000000000101001011, 0b0000110000001001010, 0b0000100000001101010, 
 18,  197672,  132642,  131095,  1564,  3848,  542,  2579,  133642,  133148,  527,  2616,  2836,  601,  131625,  197132, 
 18, 0b110000010000101000, 0b100000011000100010, 0b100000000000010111, 0b000000011000011100, 0b000000111100001000, 0b000000001000011110, 0b000000101000010011, 0b100000101000001010, 0b100000100000011100, 0b000000001000001111, 0b000000101000111000, 0b000000101100010100, 0b000000001001011001, 0b100000001000101001, 0b110000001000001100, 
 17,  3584,  545,  68608,  6160,  385,  2320,  21,  67585,  2060,  34820,  2051,  3073,  268,  33793,  6400, 
 17, 0b00000111000000000, 0b00000001000100001, 0b10000110000000000, 0b00001100000010000, 0b00000000110000001, 0b00000100100010000, 0b00000000000010101, 0b10000100000000001, 0b00000100000001100, 0b01000100000000100, 0b00000100000000011, 0b00000110000000001, 0b00000000100001100, 0b01000010000000001, 0b00001100100000000, 
 16,  57784,  63656,  955,  7353,  4602,  18810,  16830,  14521,  2553,  20921,  12537,  383,  28986,  25273,  37368, 
 16, 0b1110000110111000, 0b1111100010101000, 0b0000001110111011, 0b0001110010111001, 0b0001000111111010, 0b0100100101111010, 0b0100000110111110, 0b0011100010111001, 0b0000100111111001, 0b0101000110111001, 0b0011000011111001, 0b0000000101111111, 0b0111000100111010, 0b0110001010111001, 0b1001000111111000, 
 15,  297,  12576,  13056,  16936,  8199,  14848,  28676,  4872,  9736,  8716,  523,  8964,  25152,  270,  8737, 
 15, 0b000000100101001, 0b011000100100000, 0b011001100000000, 0b100001000101000, 0b010000000000111, 0b011101000000000, 0b111000000000100, 0b001001100001000, 0b010011000001000, 0b010001000001100, 0b000001000001011, 0b010001100000100, 0b110001001000000, 0b000000100001110, 0b010001000100001, 
 14,  12360,  12322,  1091,  1037,  616,  1248,  452,  43,  1073,  201,  1066,  116,  424,  5129,  8273, 
 14, 0b11000001001000, 0b11000000100010, 0b00010001000011, 0b00010000001101, 0b00001001101000, 0b00010011100000, 0b00000111000100, 0b00000000101011, 0b00010000110001, 0b00000011001001, 0b00010000101010, 0b00000001110100, 0b00000110101000, 0b01010000001001, 0b10000001010001, 
 13,  80,  4608,  2176,  3,  513,  144,  192,  288,  68,  4112,  1056,  5120,  12,  130,  514, 
 13, 0b0000001010000, 0b1001000000000, 0b0100010000000, 0b0000000000011, 0b0001000000001, 0b0000010010000, 0b0000011000000, 0b0000100100000, 0b0000001000100, 0b1000000010000, 0b0010000100000, 0b1010000000000, 0b0000000001100, 0b0000010000010, 0b0001000000010, 
 12,  2449,  434,  3079,  2342,  2597,  2318,  3124,  2099,  2325,  3114,  2345,  2582,  62,  2330,  3352, 
 12, 0b100110010001, 0b000110110010, 0b110000000111, 0b100100100110, 0b101000100101, 0b100100001110, 0b110000110100, 0b100000110011, 0b100100010101, 0b110000101010, 0b100100101001, 0b101000010110, 0b000000111110, 0b100100011010, 0b110100011000, 
 11,  1104,  321,  448,  25,  38,  14,  521,  1029,  259,  1096,  1057,  1538,  296,  1664,  577, 
 11, 0b10001010000, 0b00101000001, 0b00111000000, 0b00000011001, 0b00000100110, 0b00000001110, 0b01000001001, 0b10000000101, 0b00100000011, 0b10001001000, 0b10000100001, 0b11000000010, 0b00100101000, 0b11010000000, 0b01001000001, 
 10,  186,  61,  838,  271,  167,  899,  87,  302,  908,  346,  205,  453,  203,  124,  488, 
 10, 0b0010111010, 0b0000111101, 0b1101000110, 0b0100001111, 0b0010100111, 0b1110000011, 0b0001010111, 0b0100101110, 0b1110001100, 0b0101011010, 0b0011001101, 0b0111000101, 0b0011001011, 0b0001111100, 0b0111101000, 
 9,  276,  266,  262,  290,  28,  193,  146,  7,  138,  273,  265,  388,  112,  26,  133, 
 9, 0b100010100, 0b100001010, 0b100000110, 0b100100010, 0b000011100, 0b011000001, 0b010010010, 0b000000111, 0b010001010, 0b100010001, 0b100001001, 0b110000100, 0b001110000, 0b000011010, 0b010000101, 
 8,  53,  209,  78,  83,  180,  177,  108,  92,  150,  201,  216,  141,  170,  228,  71, 
 8, 0b00110101, 0b11010001, 0b01001110, 0b01010011, 0b10110100, 0b10110001, 0b01101100, 0b01011100, 0b10010110, 0b11001001, 0b11011000, 0b10001101, 0b10101010, 0b11100100, 0b01000111, 
 7,  46,  116,  58,  75,  30,  27,  108,  83,  92,  29,  114,  53,  39,  105,  71, 
 7, 0b0101110, 0b1110100, 0b0111010, 0b1001011, 0b0011110, 0b0011011, 0b1101100, 0b1010011, 0b1011100, 0b0011101, 0b1110010, 0b0110101, 0b0100111, 0b1101001, 0b1000111, 
 6,  19,  37,  44,  26,  28,  41,  25,  56,  21,  35,  38,  50,  52,  13,  14, 
 6, 0b010011, 0b100101, 0b101100, 0b011010, 0b011100, 0b101001, 0b011001, 0b111000, 0b010101, 0b100011, 0b100110, 0b110010, 0b110100, 0b001101, 0b001110, 
