bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 29,  521085635,  533406402,  530260169,  534454369,  534454480,  242950595,  526099074,  526062018,  520822991,  526065679,  526065859,  521873857,  526328008,  526065833,  521872074,  525017294, 
 29, 0b11111000011110010001011000011, 0b11111110010110010001011000010, 0b11111100110110010000011001001, 0b11111110110110010000001100001, 0b11111110110110010000011010000, 0b01110011110110010000111000011, 0b11111010110111010001010000010, 0b11111010110110001000111000010, 0b11111000010110010000011001111, 0b11111010110110010000000001111, 0b11111010110110010000011000011, 0b11111000110110010100111000001, 0b11111010111110010000011001000, 0b11111010110110010000010101001, 0b11111000110110010001011001010, 0b11111010010110010000011001110, 
 28,  159514978,  135397746,  152043882,  84934766,  68157818,  85114976,  85114914,  18219346,  251658594,  218235490,  85066082,  219153218,  202375526,  17891686,  218300768,  84022112, 
 28, 0b1001100000100000000101100010, 0b1000000100100000000101110010, 0b1001000100000000000101101010, 0b0101000100000000000001101110, 0b0100000100000000000101111010, 0b0101000100101100000001100000, 0b0101000100101100000000100010, 0b0001000101100000000101010010, 0b1111000000000000000101100010, 0b1101000000100000001001100010, 0b0101000100100000000101100010, 0b1101000100000000001101000010, 0b1100000100000000000101100110, 0b0001000100010000000101100110, 0b1101000000110000000101100000, 0b0101000000100001001101100000, 
 27,  69454672,  70445648,  13871696,  9694736,  5438032,  5303121,  1298368,  1306962,  7572304,  3910224,  1305424,  9153360,  1178194,  1289810,  1035088,  2073424, 
 27, 0b100001000111100101101010000, 0b100001100101110101001010000, 0b000110100111010101001010000, 0b000100100111110111000010000, 0b000010100101111101001010000, 0b000010100001110101101010001, 0b000000100111100111111000000, 0b000000100111111000101010010, 0b000011100111000101101010000, 0b000001110111010101001010000, 0b000000100111110101101010000, 0b000100010111010101101010000, 0b000000100011111101001010010, 0b000000100111010111001010010, 0b000000011111100101101010000, 0b000000111111010001101010000, 
 26,  49398848,  15909954,  14992518,  15254722,  11715718,  15320704,  15782915,  6407331,  16106500,  13878404,  15844482,  12960914,  12043266,  16040994,  14795972,  15811732, 
 26, 0b10111100011100010001000000, 0b00111100101100010001000010, 0b00111001001100010010000110, 0b00111010001100010011000010, 0b00101100101100010010000110, 0b00111010011100011010000000, 0b00111100001101010000000011, 0b00011000011100010010100011, 0b00111101011100010000000100, 0b00110100111100010010000100, 0b00111100011100010010000010, 0b00110001011100010010010010, 0b00101101111100010000000010, 0b00111101001100010000100010, 0b00111000011100010011000100, 0b00111100010100010010010100, 
 25,  33028040,  24637385,  25159628,  24638926,  24635309,  20381646,  20444861,  19265533,  20969418,  17823695,  20445133,  20948943,  20440957,  20965085,  31979405,  19396511, 
 25, 0b1111101111111011111001000, 0b1011101111110111111001001, 0b1011111111110011111001100, 0b1011101111111010111001110, 0b1011101111110011110101101, 0b1001101101111111111001110, 0b1001101111111011010111101, 0b1001001011111011111111101, 0b1001111111111011111001010, 0b1000011111111011111001111, 0b1001101111111011111001101, 0b1001111111010011111001111, 0b1001101111110011101111101, 0b1001111111110011011011101, 0b1111001111111011110001101, 0b1001001111111011110011111, 
 24,  448044,  324653,  713262,  258602,  61999,  454757,  1486891,  516650,  442990,  413807,  454702,  716878,  258604,  193126,  414782,  421919, 
 24, 0b000001101101011000101100, 0b000001001111010000101101, 0b000010101110001000101110, 0b000000111111001000101010, 0b000000001111001000101111, 0b000001101111000001100101, 0b000101101011000000101011, 0b000001111110001000101010, 0b000001101100001001101110, 0b000001100101000001101111, 0b000001101111000000101110, 0b000010101111000001001110, 0b000000111111001000101100, 0b000000101111001001100110, 0b000001100101010000111110, 0b000001100111000000011111, 
 23,  7280654,  8328202,  7297034,  7248906,  8342536,  7314440,  7147282,  7293250,  7018778,  8329474,  7277834,  7291147,  8324618,  7291946,  7223562,  7290112, 
 23, 0b11011110001100000001110, 0b11111110001010000001010, 0b11011110101100000001010, 0b11011101001110000001010, 0b11111110100110000001000, 0b11011111001110000001000, 0b11011010000111100010010, 0b11011110100100101000010, 0b11010110001100100011010, 0b11111110001100100000010, 0b11011110000110100001010, 0b11011110100000100001011, 0b11111110000011000001010, 0b11011110100010000101010, 0b11011100011100100001010, 0b11011110011110100000000, 
 22,  3661,  134236,  9844,  11092,  394836,  1367,  197212,  657176,  3644,  99868,  1884,  67428,  527956,  3196,  1867,  34381, 
 22, 0b0000000000111001001101, 0b0000100000110001011100, 0b0000000010011001110100, 0b0000000010101101010100, 0b0001100000011001010100, 0b0000000000010101010111, 0b0000110000001001011100, 0b0010100000011100011000, 0b0000000000111000111100, 0b0000011000011000011100, 0b0000000000011101011100, 0b0000010000011101100100, 0b0010000000111001010100, 0b0000000000110001111100, 0b0000000000011101001011, 0b0000001000011001001101, 
 21,  230016,  197776,  155778,  1208320,  197250,  151555,  149664,  82060,  253952,  231552,  217216,  29056,  723072,  149633,  209408,  246272, 
 21, 0b000111000001010000000, 0b000110000010010010000, 0b000100110000010000010, 0b100100111000000000000, 0b000110000001010000010, 0b000100101000000000011, 0b000100100100010100000, 0b000010100000010001100, 0b000111110000000000000, 0b000111000100010000000, 0b000110101000010000000, 0b000000111000110000000, 0b010110000100010000000, 0b000100100100010000001, 0b000110011001000000000, 0b000111100001000000000, 
 20,  397445,  262797,  394757,  1925,  262727,  132111,  787078,  394113,  917511,  656133,  131719,  266885,  4623,  397830,  4487,  136068, 
 20, 0b01100001000010000101, 0b01000000001010001101, 0b01100000011000000101, 0b00000000011110000101, 0b01000000001001000111, 0b00100000010000001111, 0b11000000001010000110, 0b01100000001110000001, 0b11100000000000000111, 0b10100000001100000101, 0b00100000001010000111, 0b01000001001010000101, 0b00000001001000001111, 0b01100001001000000110, 0b00000001000110000111, 0b00100001001110000100, 
 19,  459273,  205065,  466954,  270603,  139562,  270862,  197448,  336138,  393754,  459304,  402184,  467460,  9001,  205352,  401925,  466953, 
 19, 0b1110000001000001001, 0b0110010000100001001, 0b1110010000000001010, 0b1000010000100001011, 0b0100010000100101010, 0b1000010001000001110, 0b0110000001101001000, 0b1010010000100001010, 0b1100000001000011010, 0b1110000001000101000, 0b1100010001100001000, 0b1110010001000000100, 0b0000010001100101001, 0b0110010001000101000, 0b1100010001000000101, 0b1110010000000001001, 
 18,  5000,  38024,  19976,  11777,  34314,  8334,  651,  8849,  14856,  11136,  9864,  1578,  149000,  1802,  7688,  10761, 
 18, 0b000001001110001000, 0b001001010010001000, 0b000100111000001000, 0b000010111000000001, 0b001000011000001010, 0b000010000010001110, 0b000000001010001011, 0b000010001010010001, 0b000011101000001000, 0b000010101110000000, 0b000010011010001000, 0b000000011000101010, 0b100100011000001000, 0b000000011100001010, 0b000001111000001000, 0b000010101000001001, 
 17,  9730,  99840,  67074,  2563,  66336,  65547,  9760,  76032,  77826,  8722,  74241,  65795,  771,  73986,  106498,  65555, 
 17, 0b00010011000000010, 0b11000011000000000, 0b10000011000000010, 0b00000101000000011, 0b10000001100100000, 0b10000000000001011, 0b00010011000100000, 0b10010100100000000, 0b10011000000000010, 0b00010001000010010, 0b10010001000000001, 0b10000000100000011, 0b00000001100000011, 0b10010000100000010, 0b11010000000000010, 0b10000000000010011, 
 16,  36912,  32852,  12308,  2324,  41008,  774,  547,  2070,  37380,  780,  564,  340,  33568,  4868,  49172,  33304, 
 16, 0b1001000000110000, 0b1000000001010100, 0b0011000000010100, 0b0000100100010100, 0b1010000000110000, 0b0000001100000110, 0b0000001000100011, 0b0000100000010110, 0b1001001000000100, 0b0000001100001100, 0b0000001000110100, 0b0000000101010100, 0b1000001100100000, 0b0001001100000100, 0b1100000000010100, 0b1000001000011000, 
 15,  10320,  89,  6273,  147,  20545,  585,  139,  387,  4177,  2321,  2115,  2577,  16643,  643,  10498,  6464, 
 15, 0b010100001010000, 0b000000001011001, 0b001100010000001, 0b000000010010011, 0b101000001000001, 0b000001001001001, 0b000000010001011, 0b000000110000011, 0b001000001010001, 0b000100100010001, 0b000100001000011, 0b000101000010001, 0b100000100000011, 0b000001010000011, 0b010100100000010, 0b001100101000000, 
 14,  43,  172,  4264,  396,  226,  353,  2313,  706,  108,  708,  201,  240,  177,  408,  71,  149, 
 14, 0b00000000101011, 0b00000010101100, 0b01000010101000, 0b00000110001100, 0b00000011100010, 0b00000101100001, 0b00100100001001, 0b00001011000010, 0b00000001101100, 0b00001011000100, 0b00000011001001, 0b00000011110000, 0b00000010110001, 0b00000110011000, 0b00000001000111, 0b00000010010101, 
 13,  650,  673,  3600,  5264,  593,  2193,  643,  712,  2194,  4304,  912,  537,  5648,  531,  840,  4744, 
 13, 0b0001010001010, 0b0001010100001, 0b0111000010000, 0b1010010010000, 0b0001001010001, 0b0100010010001, 0b0001010000011, 0b0001011001000, 0b0100010010010, 0b1000011010000, 0b0001110010000, 0b0001000011001, 0b1011000010000, 0b0001000010011, 0b0001101001000, 0b1001010001000, 
 12,  1006,  1886,  3817,  1005,  1774,  3501,  3886,  1020,  3946,  4035,  4044,  3033,  2990,  2812,  3045,  2895, 
 12, 0b001111101110, 0b011101011110, 0b111011101001, 0b001111101101, 0b011011101110, 0b110110101101, 0b111100101110, 0b001111111100, 0b111101101010, 0b111111000011, 0b111111001100, 0b101111011001, 0b101110101110, 0b101011111100, 0b101111100101, 0b101101001111, 
 11,  703,  1631,  879,  255,  1991,  1515,  2040,  1275,  1935,  2006,  987,  1879,  951,  1823,  893,  1997, 
 11, 0b01010111111, 0b11001011111, 0b01101101111, 0b00011111111, 0b11111000111, 0b10111101011, 0b11111111000, 0b10011111011, 0b11110001111, 0b11111010110, 0b01111011011, 0b11101010111, 0b01110110111, 0b11100011111, 0b01101111101, 0b11111001101, 
 10,  784,  521,  196,  524,  321,  208,  259,  274,  176,  44,  21,  548,  641,  592,  515,  560, 
 10, 0b1100010000, 0b1000001001, 0b0011000100, 0b1000001100, 0b0101000001, 0b0011010000, 0b0100000011, 0b0100010010, 0b0010110000, 0b0000101100, 0b0000010101, 0b1000100100, 0b1010000001, 0b1001010000, 0b1000000011, 0b1000110000, 
 9,  94,  339,  451,  229,  155,  93,  248,  313,  358,  174,  107,  334,  61,  217,  302,  31, 
 9, 0b001011110, 0b101010011, 0b111000011, 0b011100101, 0b010011011, 0b001011101, 0b011111000, 0b100111001, 0b101100110, 0b010101110, 0b001101011, 0b101001110, 0b000111101, 0b011011001, 0b100101110, 0b000011111, 
 8,  41,  145,  137,  194,  224,  11,  148,  42,  176,  21,  88,  19,  67,  196,  100,  50, 
 8, 0b00101001, 0b10010001, 0b10001001, 0b11000010, 0b11100000, 0b00001011, 0b10010100, 0b00101010, 0b10110000, 0b00010101, 0b01011000, 0b00010011, 0b01000011, 0b11000100, 0b01100100, 0b00110010, 
 7,  67,  104,  70,  97,  52,  84,  42,  19,  88,  22,  13,  81,  35,  26,  49,  100, 
 7, 0b1000011, 0b1101000, 0b1000110, 0b1100001, 0b0110100, 0b1010100, 0b0101010, 0b0010011, 0b1011000, 0b0010110, 0b0001101, 0b1010001, 0b0100011, 0b0011010, 0b0110001, 0b1100100, 
