bits,  st_st0,  st_st1,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 25, 0b1110001100011000000000011, 0b1110101100010000000001010, 0b1110101010011000000001000, 0b1110111000011000100000000, 0b1111101100011000000000000, 0b0110101100011000000101000, 0b0110101001011000000001010, 0b0110111100011000000001000, 0b1110011100011000000000010, 0b1110001100011000001001000, 
 24,  13054628,  13045933,  13046124,  9834988,  12988844,  5714092,  2035885,  14553260,  13566380,  13047204, 
 24, 0b110001110011001010100100, 0b110001110001000010101101, 0b110001110001000101101100, 0b100101100001000111101100, 0b110001100011000110101100, 0b010101110011000010101100, 0b000111110001000010101101, 0b110111100001000010101100, 0b110011110000000110101100, 0b110001110001010110100100, 
 23,  310603,  180042,  44879,  307083,  323402,  44891,  49097,  65291,  130888,  376394, 
 23, 0b00001001011110101001011, 0b00000101011111101001010, 0b00000001010111101001111, 0b00001001010111110001011, 0b00001001110111101001010, 0b00000001010111101011011, 0b00000001011111111001001, 0b00000001111111100001011, 0b00000011111111101001000, 0b00001011011111001001010, 
 22,  917322,  393074,  393052,  524106,  327515,  1113971,  3473234,  458582,  65406,  2424682, 
 22, 0b0011011111111101001010, 0b0001011111111101110010, 0b0001011111111101011100, 0b0001111111111101001010, 0b0001001111111101011011, 0b0100001111111101110011, 0b1101001111111101010010, 0b0001101111111101010110, 0b0000001111111101111110, 0b1001001111111101101010, 
 21,  1025226,  1016778,  987851,  2031823,  1032395,  738251,  762315,  2072778,  893387,  1024713, 
 21, 0b011111010010011001010, 0b011111000001111001010, 0b011110001001011001011, 0b111110000000011001111, 0b011111100000011001011, 0b010110100001111001011, 0b010111010000111001011, 0b111111010000011001010, 0b011011010000111001011, 0b011111010001011001001, 
 20,  925832,  925716,  663640,  794832,  794649,  921617,  729105,  860208,  925736,  729112, 
 20, 0b11100010000010001000, 0b11100010000000010100, 0b10100010000001011000, 0b11000010000011010000, 0b11000010000000011001, 0b11100001000000010001, 0b10110010000000010001, 0b11010010000000110000, 0b11100010000000101000, 0b10110010000000011000, 
 19,  245812,  188720,  57621,  172337,  188453,  181300,  50481,  189697,  182561,  181540, 
 19, 0b0111100000000110100, 0b0101110000100110000, 0b0001110000100010101, 0b0101010000100110001, 0b0101110000000100101, 0b0101100010000110100, 0b0001100010100110001, 0b0101110010100000001, 0b0101100100100100001, 0b0101100010100100100, 
 18,  258,  12,  3,  131076,  66048,  34816,  65538,  1025,  131074,  16385, 
 18, 0b000000000100000010, 0b000000000000001100, 0b000000000000000011, 0b100000000000000100, 0b010000001000000000, 0b001000100000000000, 0b010000000000000010, 0b000000010000000001, 0b100000000000000010, 0b000100000000000001, 
 17,  59388,  34815,  108271,  115967,  59127,  52975,  40702,  55023,  46846,  116478, 
 17, 0b01110011111111100, 0b01000011111111111, 0b11010011011101111, 0b11100010011111111, 0b01110011011110111, 0b01100111011101111, 0b01001111011111110, 0b01101011011101111, 0b01011011011111110, 0b11100011011111110, 
 16,  49338,  24755,  2235,  22712,  18614,  26850,  26789,  28852,  9398,  43186, 
 16, 0b1100000010111010, 0b0110000010110011, 0b0000100010111011, 0b0101100010111000, 0b0100100010110110, 0b0110100011100010, 0b0110100010100101, 0b0111000010110100, 0b0010010010110110, 0b1010100010110010, 
 15,  8704,  16640,  130,  257,  48,  192,  2080,  6,  520,  6144, 
 15, 0b010001000000000, 0b100000100000000, 0b000000010000010, 0b000000100000001, 0b000000000110000, 0b000000011000000, 0b000100000100000, 0b000000000000110, 0b000001000001000, 0b001100000000000, 
 14,  4515,  8547,  8359,  359,  243,  111,  347,  4547,  4707,  819, 
 14, 0b01000110100011, 0b10000101100011, 0b10000010100111, 0b00000101100111, 0b00000011110011, 0b00000001101111, 0b00000101011011, 0b01000111000011, 0b01001001100011, 0b00001100110011, 
 13,  3105,  3152,  1424,  1043,  2321,  2070,  338,  2098,  3075,  2241, 
 13, 0b0110000100001, 0b0110001010000, 0b0010110010000, 0b0010000010011, 0b0100100010001, 0b0100000010110, 0b0000101010010, 0b0100000110010, 0b0110000000011, 0b0100011000001, 
 12,  1920,  792,  2073,  2832,  1297,  368,  594,  1556,  657,  833, 
 12, 0b011110000000, 0b001100011000, 0b100000011001, 0b101100010000, 0b010100010001, 0b000101110000, 0b001001010010, 0b011000010100, 0b001010010001, 0b001101000001, 
 11,  1632,  1796,  771,  1824,  840,  452,  1728,  898,  526,  708, 
 11, 0b11001100000, 0b11100000100, 0b01100000011, 0b11100100000, 0b01101001000, 0b00111000100, 0b11011000000, 0b01110000010, 0b01000001110, 0b01011000100, 
 10,  834,  298,  30,  408,  780,  108,  368,  329,  263,  550, 
 10, 0b1101000010, 0b0100101010, 0b0000011110, 0b0110011000, 0b1100001100, 0b0001101100, 0b0101110000, 0b0101001001, 0b0100000111, 0b1000100110, 
 9,  393,  323,  294,  297,  163,  197,  210,  27,  305,  480, 
 9, 0b110001001, 0b101000011, 0b100100110, 0b100101001, 0b010100011, 0b011000101, 0b011010010, 0b000011011, 0b100110001, 0b111100000, 
 8,  226,  113,  45,  149,  54,  106,  201,  71,  147,  43, 
 8, 0b11100010, 0b01110001, 0b00101101, 0b10010101, 0b00110110, 0b01101010, 0b11001001, 0b01000111, 0b10010011, 0b00101011, 
 7,  92,  105,  71,  108,  114,  78,  116,  39,  85,  27, 
 7, 0b1011100, 0b1101001, 0b1000111, 0b1101100, 0b1110010, 0b1001110, 0b1110100, 0b0100111, 0b1010101, 0b0011011, 
