bits,  st_state_1,  st_state_10,  st_state_11,  st_state_12,  st_state_13,  st_state_14,  st_state_15,  st_state_16,  st_state_17,  st_state_18,  st_state_19,  st_state_2,  st_state_20,  st_state_21,  st_state_22,  st_state_23,  st_state_24,  st_state_25,  st_state_26,  st_state_27,  st_state_3,  st_state_4,  st_state_5,  st_state_6,  st_state_7,  st_state_8,  st_state_9, 
 30,  101659819,  638529643,  319763499,  55522347,  118436963,  655176747,  120534058,  51328171,  118437036,  53425322,  61813771,  51328107,  590296105,  103625835,  252130474,  118436879,  596587555,  590292011,  53359723,  118437003,  655307818,  386872458,  84882666,  101659882,  858731530,  118387755,  588199082, 
 30, 0b000110000011110011010010101011, 0b100110000011110011000001101011, 0b010011000011110011010000101011, 0b000011010011110011010000101011, 0b000111000011110011010001100011, 0b100111000011010011010000101011, 0b000111001011110011010000101010, 0b000011000011110011010010101011, 0b000111000011110011010010101100, 0b000011001011110011010010101010, 0b000011101011110011010000001011, 0b000011000011110011010001101011, 0b100011001011110011010000101001, 0b000110001011010011010001101011, 0b001111000001110011010010101010, 0b000111000011110011010000001111, 0b100011100011110011010000100011, 0b100011001011110010010000101011, 0b000011001011100011010001101011, 0b000111000011110011010010001011, 0b100111000011110011010000101010, 0b010111000011110011010010001010, 0b000101000011110011010011101010, 0b000110000011110011010011101010, 0b110011001011110011010000001010, 0b000111000011100111010000101011, 0b100011000011110011010010101010, 
 29,  56622074,  52426747,  190578666,  22806523,  52166654,  56557547,  52164607,  56164351,  52363259,  18872319,  31127551,  60750843,  23003119,  51904507,  35651327,  64684026,  64684014,  64747499,  56555515,  55836667,  52428779,  52363135,  52296703,  52427263,  60749807,  35586047,  56554495, 
 29, 0b00011010111111111101111111010, 0b00011000111111111011111111011, 0b01011010110111111111111101010, 0b00001010110111111111111111011, 0b00011000110111111111111111110, 0b00011010111101111111111101011, 0b00011000110111111011111111111, 0b00011010110001111111111111111, 0b00011000111101111111111111011, 0b00001000111111111011111111111, 0b00001110110101111011111111111, 0b00011100111101111101111111011, 0b00001010111101111111111101111, 0b00011000101111111111111111011, 0b00010000111111111111011111111, 0b00011110110101111111111111010, 0b00011110110101111111111101110, 0b00011110110111111011111101011, 0b00011010111101111011111111011, 0b00011010100111111111111111011, 0b00011000111111111111111101011, 0b00011000111101111111101111111, 0b00011000111011111101111111111, 0b00011000111111111100111111111, 0b00011100111101111011111101111, 0b00010000111101111111111111111, 0b00011010111101111001111111111, 
 28,  135158531,  137779970,  134674947,  449347,  134699779,  136477443,  908035,  134462211,  135223811,  135142211,  134642435,  136762115,  134650631,  136600355,  514579,  136732163,  136800771,  135174915,  134536003,  134929155,  135256067,  135219971,  135238403,  134667011,  135189251,  136436483,  137009923, 
 28, 0b1000000011100101101100000011, 0b1000001101100101101100000010, 0b1000000001101111101000000011, 0b0000000001101101101101000011, 0b1000000001110101101100000011, 0b1000001000100111101100000011, 0b0000000011011101101100000011, 0b1000000000111011101100000011, 0b1000000011110101101000000011, 0b1000000011100001101101000011, 0b1000000001100111101100000011, 0b1000001001101101001100000011, 0b1000000001101001101100000111, 0b1000001001000101101100100011, 0b0000000001111101101000010011, 0b1000001001100101111000000011, 0b1000001001110110101000000011, 0b1000000011101001101100000011, 0b1000000001001101101101000011, 0b1000000010101101101100000011, 0b1000000011111101100000000011, 0b1000000011110100101100000011, 0b1000000011111001001100000011, 0b1000000001101101101100000011, 0b1000000011101101001100000011, 0b1000001000011101101100000011, 0b1000001010101001101100000011, 
 27,  35967572,  35705398,  39899222,  35705572,  35770470,  35770454,  40161888,  3264628,  35967077,  35705457,  2282100,  35770980,  36754004,  36033090,  37015649,  44093556,  2158710,  40030320,  35967588,  40161350,  35967090,  35967540,  39899252,  35967523,  36098640,  36032624,  35705458, 
 27, 0b010001001001101001001010100, 0b010001000001101001000110110, 0b010011000001101000001010110, 0b010001000001101001011100100, 0b010001000011101000001100110, 0b010001000011101000001010110, 0b010011001001101001001100000, 0b000001100011101000001110100, 0b010001001001101000001100101, 0b010001000001101001001110001, 0b000001000101101001001110100, 0b010001000011101001001100100, 0b010001100001101001001010100, 0b010001001011101001001000010, 0b010001101001101000001100001, 0b010101000001101000001110100, 0b000001000001111000001110110, 0b010011000101101000001110000, 0b010001001001101001001100100, 0b010011001001101000001000110, 0b010001001001101000001110010, 0b010001001001101001000110100, 0b010011000001101000001110100, 0b010001001001101001000100011, 0b010001001101101001001010000, 0b010001001011101000001110000, 0b010001000001101001001110010, 
 26,  15853934,  3276142,  15855052,  15788525,  11595246,  11660668,  11661805,  15855020,  12122604,  15792618,  15789518,  15858988,  15855049,  11791662,  15792620,  16313708,  15789421,  11659727,  11660778,  28436972,  32565710,  28375532,  15858124,  11659758,  15792589,  11663726,  15789548, 
 26, 0b00111100011110100101101110, 0b00001100011111110101101110, 0b00111100011110110111001100, 0b00111100001110100111101101, 0b00101100001110110111101110, 0b00101100011110110101111100, 0b00101100011111000111101101, 0b00111100011110110110101100, 0b00101110001111100111101100, 0b00111100001111100111101010, 0b00111100001110110111001110, 0b00111100011111110100101100, 0b00111100011110110111001001, 0b00101100111110110100101110, 0b00111100001111100111101100, 0b00111110001110110101101100, 0b00111100001110110101101101, 0b00101100011110100111001111, 0b00101100011110110111101010, 0b01101100011110100111101100, 0b01111100001110100111001110, 0b01101100001111100111101100, 0b00111100011111100111001100, 0b00101100011110100111101110, 0b00111100001111100111001101, 0b00101100011111100101101110, 0b00111100001110110111101100, 
 25,  2125027,  4226273,  28145,  2113249,  2128113,  2129632,  2176227,  2120931,  2186465,  2176481,  2174179,  2178273,  2256097,  2260129,  2168801,  2190576,  2125042,  2106867,  2127075,  3175649,  2112993,  2103267,  2166243,  2127585,  2237923,  2193634,  2109409, 
 25, 0b0001000000110110011100011, 0b0010000000111110011100001, 0b0000000000110110111110001, 0b0001000000011111011100001, 0b0001000000111100011110001, 0b0001000000111111011100000, 0b0001000010011010011100011, 0b0001000000101110011100011, 0b0001000010101110011100001, 0b0001000010011010111100001, 0b0001000010010110011100011, 0b0001000010011110011100001, 0b0001000100110110011100001, 0b0001000100111110010100001, 0b0001000010001011111100001, 0b0001000010110110011110000, 0b0001000000110110011110010, 0b0001000000010010111110011, 0b0001000000111010011100011, 0b0001100000111010011100001, 0b0001000000011110111100001, 0b0001000000001011111100011, 0b0001000010000110111100011, 0b0001000000111011011100001, 0b0001000100010010111100011, 0b0001000010111100011100010, 0b0001000000010111111100001, 
 24,  8426062,  8917708,  8552990,  135774,  9048590,  8524380,  688732,  8536654,  8585820,  172636,  8520285,  8553164,  8409692,  692812,  1622604,  8520526,  8393247,  8552572,  136028,  9044062,  9077324,  8422108,  8552542,  565964,  8569372,  660172,  8430172, 
 24, 0b100000001001001001001110, 0b100010000001001011001100, 0b100000101000001000011110, 0b000000100001001001011110, 0b100010100001001000001110, 0b100000100001001001011100, 0b000010101000001001011100, 0b100000100100001001001110, 0b100000110000001001011100, 0b000000101010001001011100, 0b100000100000001001011101, 0b100000101000001011001100, 0b100000000101001001011100, 0b000010101001001001001100, 0b000110001100001001001100, 0b100000100000001101001110, 0b100000000001001000011111, 0b100000101000000001111100, 0b000000100001001101011100, 0b100010100000000001011110, 0b100010101000001001001100, 0b100000001000001011011100, 0b100000101000000001011110, 0b000010001010001011001100, 0b100000101100001000011100, 0b000010100001001011001100, 0b100000001010001001011100, 
 23,  3273632,  3269510,  3260288,  5370754,  3797888,  3400482,  3208098,  3269537,  3209987,  3273601,  2225058,  3269027,  7463714,  3793570,  3206019,  3271554,  3270530,  3259170,  3531650,  3273538,  3275521,  3271584,  3209633,  3275394,  3404576,  3785634,  3275042, 
 23, 0b01100011111001110100000, 0b01100011110001110000110, 0b01100011011111110000000, 0b10100011111001110000010, 0b01110011111001110000000, 0b01100111110001100100010, 0b01100001111001110100010, 0b01100011110001110100001, 0b01100001111101100000011, 0b01100011111001110000001, 0b01000011111001110100010, 0b01100011110000110100011, 0b11100011110001100100010, 0b01110011110001010100010, 0b01100001110101110000011, 0b01100011110101110000010, 0b01100011110011110000010, 0b01100011011101100100010, 0b01101011110001110000010, 0b01100011111001101000010, 0b01100011111101100000001, 0b01100011110101110100000, 0b01100001111100110100001, 0b01100011111101010000010, 0b01100111111001100100000, 0b01110011100001110100010, 0b01100011111100100100010, 
 22,  1466656,  1327398,  352548,  483376,  417830,  1073954,  2514978,  221474,  352802,  352545,  90420,  3432482,  352672,  1335844,  2385968,  287026,  24998,  417844,  352356,  1368098,  1337380,  1335331,  287014,  3432736,  352294,  287330,  1392930, 
 22, 0b0101100110000100100000, 0b0101000100000100100110, 0b0001010110000100100100, 0b0001110110000000110000, 0b0001100110000000100110, 0b0100000110001100100010, 0b1001100110000000100010, 0b0000110110000100100010, 0b0001010110001000100010, 0b0001010110000100100001, 0b0000010110000100110100, 0b1101000110000000100010, 0b0001010110000110100000, 0b0101000110001000100100, 0b1001000110100000110000, 0b0001000110000100110010, 0b0000000110000110100110, 0b0001100110000000110100, 0b0001010110000001100100, 0b0101001110000000100010, 0b0101000110100000100100, 0b0101000110000000100011, 0b0001000110000100100110, 0b1101000110000100100000, 0b0001010110000000100110, 0b0001000110001001100010, 0b0101010100000100100010, 
 21,  8320,  1088,  33,  5120,  1050624,  20480,  262208,  32776,  258,  8193,  1310720,  2560,  3,  33024,  2049,  557056,  532480,  12,  24,  32769,  768,  34,  1049600,  132,  16512,  40960,  48, 
 21, 0b000000010000010000000, 0b000000000010001000000, 0b000000000000000100001, 0b000000001010000000000, 0b100000000100000000000, 0b000000101000000000000, 0b001000000000001000000, 0b000001000000000001000, 0b000000000000100000010, 0b000000010000000000001, 0b101000000000000000000, 0b000000000101000000000, 0b000000000000000000011, 0b000001000000100000000, 0b000000000100000000001, 0b010001000000000000000, 0b010000010000000000000, 0b000000000000000001100, 0b000000000000000011000, 0b000001000000000000001, 0b000000000001100000000, 0b000000000000000100010, 0b100000000010000000000, 0b000000000000010000100, 0b000000100000010000000, 0b000001010000000000000, 0b000000000000000110000, 
 20,  786047,  982895,  1043839,  786426,  1048379,  1015678,  1046518,  1047486,  1048547,  1048534,  786359,  1047391,  1048550,  1032055,  983029,  1048437,  1011647,  785918,  950263,  1048314,  1048438,  1023991,  1047287,  966654,  1040318,  980863,  785406, 
 20, 0b10111111111001111111, 0b11101111111101101111, 0b11111110110101111111, 0b10111111111111111010, 0b11111111111100111011, 0b11110111111101111110, 0b11111111011111110110, 0b11111111101110111110, 0b11111111111111100011, 0b11111111111111010110, 0b10111111111110110111, 0b11111111101101011111, 0b11111111111111100110, 0b11111011111101110111, 0b11101111111111110101, 0b11111111111101110101, 0b11110110111110111111, 0b10111111110111111110, 0b11100111111111110111, 0b11111111111011111010, 0b11111111111101110110, 0b11111001111111110111, 0b11111111101011110111, 0b11101011111111111110, 0b11111101111110111110, 0b11101111011101111111, 0b10111111101111111110, 
 19,  13086,  79634,  12855,  31508,  30230,  13878,  30482,  16146,  29211,  14871,  15924,  29490,  31766,  21054,  407058,  29244,  79381,  46614,  31282,  13079,  275094,  13971,  275219,  13854,  144918,  54834,  291350, 
 19, 0b0000011001100011110, 0b0010011011100010010, 0b0000011001000110111, 0b0000111101100010100, 0b0000111011000010110, 0b0000011011000110110, 0b0000111011100010010, 0b0000011111100010010, 0b0000111001000011011, 0b0000011101000010111, 0b0000011111000110100, 0b0000111001100110010, 0b0000111110000010110, 0b0000101001000111110, 0b1100011011000010010, 0b0000111001000111100, 0b0010011011000010101, 0b0001011011000010110, 0b0000111101000110010, 0b0000011001100010111, 0b1000011001010010110, 0b0000011011010010011, 0b1000011001100010011, 0b0000011011000011110, 0b0100011011000010110, 0b0001101011000110010, 0b1000111001000010110, 
 18,  2052,  65552,  144,  16392,  96,  1032,  32784,  528,  34,  131584,  192,  131074,  33,  49152,  1152,  24576,  65537,  66048,  65540,  12288,  131080,  10240,  1280,  257,  16386,  4352,  640, 
 18, 0b000000100000000100, 0b010000000000010000, 0b000000000010010000, 0b000100000000001000, 0b000000000001100000, 0b000000010000001000, 0b001000000000010000, 0b000000001000010000, 0b000000000000100010, 0b100000001000000000, 0b000000000011000000, 0b100000000000000010, 0b000000000000100001, 0b001100000000000000, 0b000000010010000000, 0b000110000000000000, 0b010000000000000001, 0b010000001000000000, 0b010000000000000100, 0b000011000000000000, 0b100000000000001000, 0b000010100000000000, 0b000000010100000000, 0b000000000100000001, 0b000100000000000010, 0b000001000100000000, 0b000000001010000000, 
 17,  3085,  3098,  11274,  11288,  9746,  3590,  11267,  3346,  10758,  10251,  44034,  3139,  19466,  1547,  3206,  11777,  34314,  11808,  3079,  12032,  11284,  10310,  2071,  9230,  11336,  3122,  2126, 
 17, 0b00000110000001101, 0b00000110000011010, 0b00010110000001010, 0b00010110000011000, 0b00010011000010010, 0b00000111000000110, 0b00010110000000011, 0b00000110100010010, 0b00010101000000110, 0b00010100000001011, 0b01010110000000010, 0b00000110001000011, 0b00100110000001010, 0b00000011000001011, 0b00000110010000110, 0b00010111000000001, 0b01000011000001010, 0b00010111000100000, 0b00000110000000111, 0b00010111100000000, 0b00010110000010100, 0b00010100001000110, 0b00000100000010111, 0b00010010000001110, 0b00010110001001000, 0b00000110000110010, 0b00000100001001110, 
 16,  12552,  8482,  61440,  8248,  41232,  4896,  28704,  9504,  4392,  106,  300,  12384,  9228,  37184,  4448,  24864,  49440,  41000,  8520,  12672,  12336,  9250,  8744,  12354,  5160,  8481,  13824, 
 16, 0b0011000100001000, 0b0010000100100010, 0b1111000000000000, 0b0010000000111000, 0b1010000100010000, 0b0001001100100000, 0b0111000000100000, 0b0010010100100000, 0b0001000100101000, 0b0000000001101010, 0b0000000100101100, 0b0011000001100000, 0b0010010000001100, 0b1001000101000000, 0b0001000101100000, 0b0110000100100000, 0b1100000100100000, 0b1010000000101000, 0b0010000101001000, 0b0011000110000000, 0b0011000000110000, 0b0010010000100010, 0b0010001000101000, 0b0011000001000010, 0b0001010000101000, 0b0010000100100001, 0b0011011000000000, 
 15,  2352,  16736,  18816,  8528,  960,  17168,  12576,  17728,  10498,  16706,  24864,  928,  864,  624,  6192,  8592,  16705,  2344,  306,  6912,  4512,  368,  1314,  4194,  291,  8962,  562, 
 15, 0b000100100110000, 0b100000101100000, 0b100100110000000, 0b010000101010000, 0b000001111000000, 0b100001100010000, 0b011000100100000, 0b100010101000000, 0b010100100000010, 0b100000101000010, 0b110000100100000, 0b000001110100000, 0b000001101100000, 0b000001001110000, 0b001100000110000, 0b010000110010000, 0b100000101000001, 0b000100100101000, 0b000000100110010, 0b001101100000000, 0b001000110100000, 0b000000101110000, 0b000010100100010, 0b001000001100010, 0b000000100100011, 0b010001100000010, 0b000001000110010, 
 14,  513,  2050,  272,  2304,  12,  1280,  1088,  640,  129,  5120,  17,  192,  36,  12288,  288,  2080,  2112,  40,  258,  18,  2176,  48,  8448,  516,  514,  2064,  2056, 
 14, 0b00001000000001, 0b00100000000010, 0b00000100010000, 0b00100100000000, 0b00000000001100, 0b00010100000000, 0b00010001000000, 0b00001010000000, 0b00000010000001, 0b01010000000000, 0b00000000010001, 0b00000011000000, 0b00000000100100, 0b11000000000000, 0b00000100100000, 0b00100000100000, 0b00100001000000, 0b00000000101000, 0b00000100000010, 0b00000000010010, 0b00100010000000, 0b00000000110000, 0b10000100000000, 0b00001000000100, 0b00001000000010, 0b00100000010000, 0b00100000001000, 
 13,  528,  3072,  1025,  257,  4098,  288,  1032,  1040,  80,  34,  4100,  66,  514,  1152,  192,  2176,  144,  272,  2064,  129,  12,  640,  2049,  4097,  320,  513,  1028, 
 13, 0b0001000010000, 0b0110000000000, 0b0010000000001, 0b0000100000001, 0b1000000000010, 0b0000100100000, 0b0010000001000, 0b0010000010000, 0b0000001010000, 0b0000000100010, 0b1000000000100, 0b0000001000010, 0b0001000000010, 0b0010010000000, 0b0000011000000, 0b0100010000000, 0b0000010010000, 0b0000100010000, 0b0100000010000, 0b0000010000001, 0b0000000001100, 0b0001010000000, 0b0100000000001, 0b1000000000001, 0b0000101000000, 0b0001000000001, 0b0010000000100, 
 12,  24,  384,  514,  132,  2064,  2049,  1026,  10,  520,  2050,  513,  516,  1280,  258,  20,  192,  288,  144,  68,  160,  320,  640,  33,  40,  36,  136,  66, 
 12, 0b000000011000, 0b000110000000, 0b001000000010, 0b000010000100, 0b100000010000, 0b100000000001, 0b010000000010, 0b000000001010, 0b001000001000, 0b100000000010, 0b001000000001, 0b001000000100, 0b010100000000, 0b000100000010, 0b000000010100, 0b000011000000, 0b000100100000, 0b000010010000, 0b000001000100, 0b000010100000, 0b000101000000, 0b001010000000, 0b000000100001, 0b000000101000, 0b000000100100, 0b000010001000, 0b000001000010, 
 11,  1966,  1003,  751,  2034,  1275,  2040,  1980,  509,  1405,  1020,  759,  1014,  894,  1971,  1013,  1662,  891,  927,  1726,  1526,  1018,  1406,  831,  447,  2022,  765,  1005, 
 11, 0b11110101110, 0b01111101011, 0b01011101111, 0b11111110010, 0b10011111011, 0b11111111000, 0b11110111100, 0b00111111101, 0b10101111101, 0b01111111100, 0b01011110111, 0b01111110110, 0b01101111110, 0b11110110011, 0b01111110101, 0b11001111110, 0b01101111011, 0b01110011111, 0b11010111110, 0b10111110110, 0b01111111010, 0b10101111110, 0b01100111111, 0b00110111111, 0b11111100110, 0b01011111101, 0b01111101101, 
 10,  897,  561,  277,  464,  660,  664,  308,  562,  114,  312,  785,  523,  113,  593,  390,  147,  525,  282,  340,  848,  432,  864,  291,  786,  338,  780,  281, 
 10, 0b1110000001, 0b1000110001, 0b0100010101, 0b0111010000, 0b1010010100, 0b1010011000, 0b0100110100, 0b1000110010, 0b0001110010, 0b0100111000, 0b1100010001, 0b1000001011, 0b0001110001, 0b1001010001, 0b0110000110, 0b0010010011, 0b1000001101, 0b0100011010, 0b0101010100, 0b1101010000, 0b0110110000, 0b1101100000, 0b0100100011, 0b1100010010, 0b0101010010, 0b1100001100, 0b0100011001, 
 9,  262,  265,  336,  19,  386,  26,  97,  176,  162,  289,  193,  76,  134,  98,  200,  148,  70,  25,  11,  145,  67,  38,  133,  324,  13,  296,  52, 
 9, 0b100000110, 0b100001001, 0b101010000, 0b000010011, 0b110000010, 0b000011010, 0b001100001, 0b010110000, 0b010100010, 0b100100001, 0b011000001, 0b001001100, 0b010000110, 0b001100010, 0b011001000, 0b010010100, 0b001000110, 0b000011001, 0b000001011, 0b010010001, 0b001000011, 0b000100110, 0b010000101, 0b101000100, 0b000001101, 0b100101000, 0b000110100, 
 8,  89,  58,  195,  240,  166,  78,  51,  156,  120,  170,  147,  23,  85,  197,  139,  43,  141,  90,  15,  101,  232,  102,  210,  45,  165,  60,  99, 
 8, 0b01011001, 0b00111010, 0b11000011, 0b11110000, 0b10100110, 0b01001110, 0b00110011, 0b10011100, 0b01111000, 0b10101010, 0b10010011, 0b00010111, 0b01010101, 0b11000101, 0b10001011, 0b00101011, 0b10001101, 0b01011010, 0b00001111, 0b01100101, 0b11101000, 0b01100110, 0b11010010, 0b00101101, 0b10100101, 0b00111100, 0b01100011, 
