bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st12_n,  st_st13,  st_st14,  st_st15,  st_st1_n,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st6_n,  st_st7,  st_st8,  st_st8_n,  st_st9, 
 28, 0b1111110010101110000000000101, 0b1111110010001110110000000001, 0b1111110011100110010000000001, 0b1111110010110110010100000000, 0b1111110010110111000000000001, 0b1111110010100110100100000001, 0b1110110010101110110000000001, 0b1100110011100110110100000001, 0b1110110011100110100000000101, 0b1111110010100110100000001100, 0b1111110000100110100100000110, 0b1110110010101010101100000001, 0b1111110010100110001000000011, 0b1111010011100110101000000001, 0b1111100110100110101000000001, 0b1111110010000110111000000001, 0b0111110010010110110100000001, 0b0111110010110110001100000001, 0b1111111010010110000100000001, 0b0111111010100110010100000001, 0b1111101000100110110100000001, 0b1101110000110110110100000001, 0b1111110000100111010100000001, 
 27,  130359310,  65478666,  130424843,  130421769,  131477512,  130486282,  130289679,  130220047,  130228250,  121852170,  130520064,  130420749,  130523144,  114237450,  114200586,  130330634,  131339274,  123147272,  117904650,  118960138,  131280898,  114765832,  130232329, 
 27, 0b111110001010010000000001110, 0b011111001110010000000001010, 0b111110001100010000000001011, 0b111110001100001010000001001, 0b111110101100011000000001000, 0b111110001110001000000001010, 0b111110001000001000000001111, 0b111110000110000000000001111, 0b111110000110010000000011010, 0b111010000110101000100001010, 0b111110001111001010000000000, 0b111110001100001000000001101, 0b111110001111010000000001000, 0b110110011110010000000001010, 0b110110011101001000000001010, 0b111110001001011000000001010, 0b111110101000001010000001010, 0b111010101110001010000001000, 0b111000001110001010100001010, 0b111000101110011000000001010, 0b111110100110011000000000010, 0b110110101110011000000001000, 0b111110000110011000000001001, 
 26,  15884046,  14835548,  14866206,  14835038,  15881503,  14835231,  14843676,  48395806,  14837535,  15359763,  7495323,  14842430,  13819422,  11689758,  13852190,  12746526,  15097118,  23223583,  31874063,  30563359,  13793823,  32659487,  15883038, 
 26, 0b00111100100101111100001110, 0b00111000100101111101011100, 0b00111000101101011100011110, 0b00111000100101110101011110, 0b00111100100101010100011111, 0b00111000100101111000011111, 0b00111000100111111100011100, 0b10111000100111011000011110, 0b00111000100110011100011111, 0b00111010100101111100010011, 0b00011100100101111010011011, 0b00111000100111101000111110, 0b00110100101101111000011110, 0b00101100100101111100011110, 0b00110100110101111000011110, 0b00110000100111111100011110, 0b00111001100101110100011110, 0b01011000100101110100011111, 0b01111001100101110000001111, 0b01110100100101110000011111, 0b00110100100111101000011111, 0b01111100100101100000011111, 0b00111100100101101100011110, 
 25,  31653771,  33225603,  32570255,  32567191,  31653767,  32833411,  33087371,  32636555,  32571079,  33406723,  30734251,  28835714,  16120715,  32963466,  29162379,  33160067,  24248227,  31522739,  32800690,  32817073,  32823219,  32824275,  32694163, 
 25, 0b1111000101111111110001011, 0b1111110101111101110000011, 0b1111100001111101110001111, 0b1111100001110111110010111, 0b1111000101111111110000111, 0b1111101001111111110000011, 0b1111110001101111110001011, 0b1111100011111111010001011, 0b1111100001111111011000111, 0b1111111011011111100000011, 0b1110101001111011110101011, 0b1101101111111111110000010, 0b0111101011111101110001011, 0b1111101101111101110001010, 0b1101111001111101110001011, 0b1111110011111101110000011, 0b1011100011111111110100011, 0b1111000001111111110110011, 0b1111101000111111110110010, 0b1111101001011111110110001, 0b1111101001101011110110011, 0b1111101001101101111010011, 0b1111100101101111110010011, 
 24,  12262400,  1776688,  3349522,  3808259,  11672642,  1776706,  3873282,  3364930,  3886082,  11213888,  1824832,  3870787,  10165264,  1252440,  3808328,  3873824,  1514592,  1449027,  1252387,  1252421,  2300998,  2821442,  11213826, 
 24, 0b101110110001110000000000, 0b000110110001110000110000, 0b001100110001110000010010, 0b001110100001110000000011, 0b101100100001110001000010, 0b000110110001110001000010, 0b001110110001101000000010, 0b001100110101100001000010, 0b001110110100110000000010, 0b101010110001110001000000, 0b000110111101100001000000, 0b001110110001000001000011, 0b100110110001110000010000, 0b000100110001110001011000, 0b001110100001110001001000, 0b001110110001110000100000, 0b000101110001110001100000, 0b000101100001110001000011, 0b000100110001110000100011, 0b000100110001110001000101, 0b001000110001110001000110, 0b001010110000110101000010, 0b101010110001110000000010, 
 23,  5503454,  5495550,  5467134,  5341150,  7563230,  7560158,  5471197,  5491679,  7539711,  6805982,  7561070,  8149982,  7502844,  7568246,  7818230,  7556093,  7558139,  7435231,  6519773,  7568159,  5462975,  7820191,  5461983, 
 23, 0b10100111111100111011110, 0b10100111101101011111110, 0b10100110110101111111110, 0b10100010111111111011110, 0b11100110110011111011110, 0b11100110101101111011110, 0b10100110111101111011101, 0b10100111100101111011111, 0b11100110000101111111111, 0b11001111101100111011110, 0b11100110101111101101110, 0b11111000101101111011110, 0b11100100111101111111100, 0b11100110111101101110110, 0b11101110100101111110110, 0b11100110100101111111101, 0b11100110101001111111011, 0b11100010111001111011111, 0b11000110111101111011101, 0b11100110111101100011111, 0b10100110101101110111111, 0b11101110101001110011111, 0b10100110101011111011111, 
 22,  3672850,  3676802,  3681152,  1714976,  3156769,  3680802,  3672707,  3672740,  3418784,  2632416,  2108070,  2624046,  3156802,  3157792,  3156739,  3287682,  3549218,  3279650,  3410470,  2755110,  2640482,  2624298,  3672928, 
 22, 0b1110000000101100010010, 0b1110000001101010000010, 0b1110000010101110000000, 0b0110100010101100100000, 0b1100000010101100100001, 0b1110000010101000100010, 0b1110000000101010000011, 0b1110000000101010100100, 0b1101000010101010100000, 0b1010000010101011100000, 0b1000000010101010100110, 0b1010000000101000101110, 0b1100000010101101000010, 0b1100000010111100100000, 0b1100000010101100000011, 0b1100100010101010000010, 0b1101100010100000100010, 0b1100100000101100100010, 0b1101000000101000100110, 0b1010100000101000100110, 0b1010000100101001100010, 0b1010000000101100101010, 0b1110000000101101100000, 
 21,  265905,  134961,  396850,  663074,  7858,  527923,  659120,  659042,  134819,  3646,  547363,  532020,  724528,  73266,  69411,  331313,  7857,  531619,  548386,  597042,  269363,  134451,  138801, 
 21, 0b001000000111010110001, 0b000100000111100110001, 0b001100000111000110010, 0b010100001111000100010, 0b000000001111010110010, 0b010000000111000110011, 0b010100000111010110000, 0b010100000111001100010, 0b000100000111010100011, 0b000000000111000111110, 0b010000101101000100011, 0b010000001111000110100, 0b010110000111000110000, 0b000010001111000110010, 0b000010000111100100011, 0b001010000111000110001, 0b000000001111010110001, 0b010000001110010100011, 0b010000101111000100010, 0b010010001110000110010, 0b001000001110000110011, 0b000100000110100110011, 0b000100001111000110001, 
 20,  7172,  83972,  19458,  3105,  83969,  69120,  3329,  142336,  7169,  74496,  66817,  7170,  74754,  198658,  67856,  67590,  198664,  133633,  198912,  11008,  15360,  76032,  74753, 
 20, 0b00000001110000000100, 0b00010100100000000100, 0b00000100110000000010, 0b00000000110000100001, 0b00010100100000000001, 0b00010000111000000000, 0b00000000110100000001, 0b00100010110000000000, 0b00000001110000000001, 0b00010010001100000000, 0b00010000010100000001, 0b00000001110000000010, 0b00010010010000000010, 0b00110000100000000010, 0b00010000100100010000, 0b00010000100000000110, 0b00110000100000001000, 0b00100000101000000001, 0b00110000100100000000, 0b00000010101100000000, 0b00000011110000000000, 0b00010010100100000000, 0b00010010010000000001, 
 19,  61252,  323084,  118540,  36638,  20316,  28430,  93004,  85830,  98052,  53018,  28500,  216590,  69391,  77708,  93957,  52999,  265999,  281886,  85263,  150830,  56590,  52046,  23326, 
 19, 0b0001110111101000100, 0b1001110111000001100, 0b0011100111100001100, 0b0001000111100011110, 0b0000100111101011100, 0b0000110111100001110, 0b0010110101101001100, 0b0010100111101000110, 0b0010111111100000100, 0b0001100111100011010, 0b0000110111101010100, 0b0110100111000001110, 0b0010000111100001111, 0b0010010111110001100, 0b0010110111100000101, 0b0001100111100000111, 0b1000000111100001111, 0b1000100110100011110, 0b0010100110100001111, 0b0100100110100101110, 0b0001101110100001110, 0b0001100101101001110, 0b0000101101100011110, 
 18,  127489,  129026,  123650,  59137,  42762,  62978,  116227,  52994,  64256,  38662,  42515,  56578,  185090,  190208,  251392,  87810,  30465,  46852,  46672,  48641,  110082,  48131,  48896, 
 18, 0b011111001000000001, 0b011111100000000010, 0b011110001100000010, 0b001110011100000001, 0b001010011100001010, 0b001111011000000010, 0b011100011000000011, 0b001100111100000010, 0b001111101100000000, 0b001001011100000110, 0b001010011000010011, 0b001101110100000010, 0b101101001100000010, 0b101110011100000000, 0b111101011000000000, 0b010101011100000010, 0b000111011100000001, 0b001011011100000100, 0b001011011001010000, 0b001011111000000001, 0b011010111000000010, 0b001011110000000011, 0b001011111100000000, 
 17,  63556,  47185,  63521,  129032,  55340,  47117,  63498,  61447,  47619,  47178,  7183,  46604,  104489,  124937,  104459,  120837,  71725,  116749,  57613,  53325,  28687,  14606,  59406, 
 17, 0b01111100001000100, 0b01011100001010001, 0b01111100000100001, 0b11111100000001000, 0b01101100000101100, 0b01011100000001101, 0b01111100000001010, 0b01111000000000111, 0b01011101000000011, 0b01011100001001010, 0b00001110000001111, 0b01011011000001100, 0b11001100000101001, 0b11110100000001001, 0b11001100000001011, 0b11101100000000101, 0b10001100000101101, 0b11100100000001101, 0b01110000100001101, 0b01101000001001101, 0b00111000000001111, 0b00011100100001110, 0b01110100000001110, 
 16,  1136,  1856,  9408,  9729,  1602,  8800,  10320,  8514,  1122,  561,  108,  720,  9249,  10305,  10280,  8368,  8481,  8962,  8640,  8496,  33120,  41032,  9536, 
 16, 0b0000010001110000, 0b0000011101000000, 0b0010010011000000, 0b0010011000000001, 0b0000011001000010, 0b0010001001100000, 0b0010100001010000, 0b0010000101000010, 0b0000010001100010, 0b0000001000110001, 0b0000000001101100, 0b0000001011010000, 0b0010010000100001, 0b0010100001000001, 0b0010100000101000, 0b0010000010110000, 0b0010000100100001, 0b0010001100000010, 0b0010000111000000, 0b0010000100110000, 0b1000000101100000, 0b1010000001001000, 0b0010010101000000, 
 15,  8282,  1110,  158,  1202,  17542,  16594,  234,  16568,  17434,  16609,  16774,  16500,  1114,  1222,  9424,  248,  16585,  16547,  20673,  451,  206,  707,  5314, 
 15, 0b010000001011010, 0b000010001010110, 0b000000010011110, 0b000010010110010, 0b100010010000110, 0b100000011010010, 0b000000011101010, 0b100000010111000, 0b100010000011010, 0b100000011100001, 0b100000110000110, 0b100000001110100, 0b000010001011010, 0b000010011000110, 0b010010011010000, 0b000000011111000, 0b100000011001001, 0b100000010100011, 0b101000011000001, 0b000000111000011, 0b000000011001110, 0b000001011000011, 0b001010011000010, 
 14,  649,  269,  172,  1157,  1696,  900,  526,  808,  293,  785,  8864,  212,  525,  284,  4496,  393,  135,  1410,  432,  4481,  4420,  12420,  5636, 
 14, 0b00001010001001, 0b00000100001101, 0b00000010101100, 0b00010010000101, 0b00011010100000, 0b00001110000100, 0b00001000001110, 0b00001100101000, 0b00000100100101, 0b00001100010001, 0b10001010100000, 0b00000011010100, 0b00001000001101, 0b00000100011100, 0b01000110010000, 0b00000110001001, 0b00000010000111, 0b00010110000010, 0b00000110110000, 0b01000110000001, 0b01000101000100, 0b11000010000100, 0b01011000000100, 
 13,  5064,  4316,  4685,  622,  4707,  4728,  7752,  1644,  4206,  5705,  7280,  7008,  4460,  748,  630,  2668,  6754,  4938,  5016,  4818,  4710,  4659,  629, 
 13, 0b1001111001000, 0b1000011011100, 0b1001001001101, 0b0001001101110, 0b1001001100011, 0b1001001111000, 0b1111001001000, 0b0011001101100, 0b1000001101110, 0b1011001001001, 0b1110001110000, 0b1101101100000, 0b1000101101100, 0b0001011101100, 0b0001001110110, 0b0101001101100, 0b1101001100010, 0b1001101001010, 0b1001110011000, 0b1001011010010, 0b1001001100110, 0b1001000110011, 0b0001001110101, 
 12,  2145,  3081,  2248,  1098,  2115,  3152,  3112,  2074,  2626,  2146,  1091,  593,  3232,  1728,  1100,  3336,  1376,  3106,  2148,  3084,  1094,  3204,  3330, 
 12, 0b100001100001, 0b110000001001, 0b100011001000, 0b010001001010, 0b100001000011, 0b110001010000, 0b110000101000, 0b100000011010, 0b101001000010, 0b100001100010, 0b010001000011, 0b001001010001, 0b110010100000, 0b011011000000, 0b010001001100, 0b110100001000, 0b010101100000, 0b110000100010, 0b100001100100, 0b110000001100, 0b010001000110, 0b110010000100, 0b110100000010, 
 11,  126,  1083,  189,  399,  469,  311,  828,  1086,  1141,  839,  444,  1842,  1309,  1071,  814,  380,  497,  486,  694,  243,  455,  413,  365, 
 11, 0b00001111110, 0b10000111011, 0b00010111101, 0b00110001111, 0b00111010101, 0b00100110111, 0b01100111100, 0b10000111110, 0b10001110101, 0b01101000111, 0b00110111100, 0b11100110010, 0b10100011101, 0b10000101111, 0b01100101110, 0b00101111100, 0b00111110001, 0b00111100110, 0b01010110110, 0b00011110011, 0b00111000111, 0b00110011101, 0b00101101101, 
 10,  897,  135,  452,  705,  898,  676,  424,  780,  912,  664,  533,  547,  293,  774,  46,  141,  53,  417,  356,  396,  197,  163,  519, 
 10, 0b1110000001, 0b0010000111, 0b0111000100, 0b1011000001, 0b1110000010, 0b1010100100, 0b0110101000, 0b1100001100, 0b1110010000, 0b1010011000, 0b1000010101, 0b1000100011, 0b0100100101, 0b1100000110, 0b0000101110, 0b0010001101, 0b0000110101, 0b0110100001, 0b0101100100, 0b0110001100, 0b0011000101, 0b0010100011, 0b1000000111, 
 9,  137,  388,  162,  11,  140,  37,  67,  112,  19,  42,  262,  50,  22,  196,  145,  304,  28,  70,  104,  193,  324,  73,  385, 
 9, 0b010001001, 0b110000100, 0b010100010, 0b000001011, 0b010001100, 0b000100101, 0b001000011, 0b001110000, 0b000010011, 0b000101010, 0b100000110, 0b000110010, 0b000010110, 0b011000100, 0b010010001, 0b100110000, 0b000011100, 0b001000110, 0b001101000, 0b011000001, 0b101000100, 0b001001001, 0b110000001, 
 8,  52,  208,  104,  70,  37,  140,  69,  161,  25,  56,  100,  26,  38,  84,  193,  176,  88,  11,  22,  162,  41,  21,  131, 
 8, 0b00110100, 0b11010000, 0b01101000, 0b01000110, 0b00100101, 0b10001100, 0b01000101, 0b10100001, 0b00011001, 0b00111000, 0b01100100, 0b00011010, 0b00100110, 0b01010100, 0b11000001, 0b10110000, 0b01011000, 0b00001011, 0b00010110, 0b10100010, 0b00101001, 0b00010101, 0b10000011, 
