bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st1_n,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st32,  st_st33,  st_st34,  st_st35,  st_st36,  st_st37,  st_st38,  st_st39,  st_st4,  st_st40,  st_st41,  st_st42,  st_st43,  st_st44,  st_st45,  st_st46,  st_st47,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 31,  1951135295,  1993078323,  1442380274,  83885298,  368770290,  67106034,  66845938,  64746747,  63633151,  1355478783,  1372321019,  1355806383,  1993274427,  1959523515,  2026845871,  2027632317,  1356838589,  1557870255,  1489761967,  1557131919,  1557134220,  2027944840,  1557068175,  1556871597,  1556870571,  1552939917,  1603271436,  1401944892,  329120574,  54393663,  1396570940,  1409153840,  1442709040,  1422654387,  1422654142,  2127295657,  1422645695,  1556871603,  1556872075,  2127278987,  1993044879,  1925936055,  1410070271,  1175451383,  1925971369,  1925970355,  1456208370,  1423833586,  1425931504, 
 31, 0b1110100010010111111011000111111, 0b1110110110010111111011000110011, 0b1010101111110001111100111110010, 0b0000100111111111111110011110010, 0b0010101111110101111110011110010, 0b0000011111111111111010011110010, 0b0000011111110111111110011110010, 0b0000011110110111111010011111011, 0b0000011110010101111011011111111, 0b1010000110010101111011011111111, 0b1010001110010111111010011111011, 0b1010000110011111111011010101111, 0b1110110110011101111010000111011, 0b1110100110010111111010010111011, 0b1111000110011110011011010101111, 0b1111000110110110011011010111101, 0b1010000110111111011011010111101, 0b1011100110110110011011010101111, 0b1011000110010111111011010101111, 0b1011100110011111111001010001111, 0b1011100110011111111101110001100, 0b1111000110111111111101110001000, 0b1011100110011101111100110001111, 0b1011100110010111111100110101101, 0b1011100110010111111010110101011, 0b1011100100011111111101110001101, 0b1011111100011111111101100001100, 0b1010011100011111111101100111100, 0b0010011100111011111101100111110, 0b0000011001111011111101100111111, 0b1010011001111011111101100111100, 0b1010011111111011111101100110000, 0b1010101111111011111111000110000, 0b1010100110010111111101110110011, 0b1010100110010111111101010111110, 0b1111110110010111111010010101001, 0b1010100110010111101100110111111, 0b1011100110010111111100110110011, 0b1011100110010111111101110001011, 0b1111110110010111011001110001011, 0b1110110110010110111001110001111, 0b1110010110010110111001110110111, 0b1010100000010111111011011111111, 0b1000110000011111111011011110111, 0b1110010110010111111110110101001, 0b1110010110010111111100110110011, 0b1010110110010111111100111110010, 0b1010100110111011111100111110010, 0b1010100111111011111110011110000, 
 30,  386620940,  520248846,  354077454,  827310854,  504023822,  827248386,  973784846,  974049026,  168808195,  34590223,  235916812,  17813262,  1040408076,  504258060,  17616783,  17592222,  17755422,  905118,  537906958,  621743886,  621494028,  621493556,  638463758,  101662476,  252591628,  219107082,  84877070,  84915974,  90158848,  253212416,  117946124,  889435916,  893628686,  93255432,  32437000,  89014028,  95348481,  95338240,  84852492,  86941450,  359046920,  74366728,  101703180,  38796808,  365838080,  353287944,  352759566,  352571150,  893633294, 
 30, 0b010111000010110101111000001100, 0b011111000000100101111000001110, 0b010101000110101100101100001110, 0b110001010011111100001100000110, 0b011110000010101100101100001110, 0b110001010011101100111100000010, 0b111010000010101100011100001110, 0b111010000011101100111100000010, 0b001010000011111100111100000011, 0b000010000011111100111000001111, 0b001110000011111100111000001100, 0b000001000011111100111100001110, 0b111110000000110101111000001100, 0b011110000011100101111000001100, 0b000001000011001100111110001111, 0b000001000011000110111110011110, 0b000001000011101110110100011110, 0b000000000011011100111110011110, 0b100000000011111100111100001110, 0b100101000011110000111100001110, 0b100101000010110011111100001100, 0b100101000010110011110100110100, 0b100110000011100010111100001110, 0b000110000011110011111100001100, 0b001111000011100011111000001100, 0b001101000011110100111100001010, 0b000101000011110001111100001110, 0b000101000011111011011100000110, 0b000101010111111011011100000000, 0b001111000101111011011100000000, 0b000111000001111011011100001100, 0b110101000000111011011100001100, 0b110101010000111011000100001110, 0b000101100011101111011100001000, 0b000001111011101111001100001000, 0b000101010011100011111100001100, 0b000101101011101110011100000001, 0b000101101011101011111100000000, 0b000101000011101011111100001100, 0b000101001011101001111100001010, 0b010101011001101001111100001000, 0b000100011011101011111100001000, 0b000110000011111101111000001100, 0b000010010011111111111000001000, 0b010101110011100011111100000000, 0b010101000011101011111100001000, 0b010101000001101010111100001110, 0b010101000000111100111100001110, 0b110101010000111100001100001110, 
 29,  47379008,  66220544,  139249480,  139264819,  139051864,  139002711,  138986452,  139043668,  180396884,  180511316,  46297712,  149055572,  66196036,  64107104,  146956532,  197288100,  146958516,  197288260,  182608208,  14842192,  12745568,  12860257,  174225728,  167934816,  180499296,  14834528,  12733283,  146949027,  12717987,  147000226,  146997927,  146932527,  139985711,  148065056,  148085504,  172109664,  144117536,  139661152,  147008352,  155401024,  138615619,  135486211,  180539972,  107139652,  168972128,  135483170,  136072994,  139218698,  139215659, 
 29, 0b00010110100101111001001000000, 0b00011111100100111001000000000, 0b01000010011001100011101001000, 0b01000010011010000001100110011, 0b01000010010011100001101011000, 0b01000010010010000001101010111, 0b01000010010001100001111010100, 0b01000010010011010001101010100, 0b01010110000001010001101010100, 0b01010110000100110001001010100, 0b00010110000100111001001110000, 0b01000111000100110100001010100, 0b00011111100100001001001000100, 0b00011110100100011001001100000, 0b01000110000100110000011110100, 0b01011110000100110000010100100, 0b01000110000100110100010110100, 0b01011110000100110000101000100, 0b01010111000100110000101010000, 0b00000111000100111100101010000, 0b00000110000100111101101100000, 0b00000110001000011101101100001, 0b01010011000100111100101000000, 0b01010000000100111101101100000, 0b01010110000100011001101100000, 0b00000111000100101101101100000, 0b00000110000100100101101100011, 0b01000110000100100001110100011, 0b00000110000100000111110100011, 0b01000110000110000101110100010, 0b01000110000110000001010100111, 0b01000110000100000001100101111, 0b01000010110000000001100101111, 0b01000110100110100101100100000, 0b01000110100111001101100000000, 0b01010010000100010111101100000, 0b01000100101110000111100100000, 0b01000010100110000111101100000, 0b01000110000110010101101100000, 0b01001010000110011101101000000, 0b01000010000110001101101000011, 0b01000000100110101101100000011, 0b01010110000101101001001000100, 0b00110011000101101001001000100, 0b01010000100100100111101100000, 0b01000000100110100111100100010, 0b01000000111000100111100100010, 0b01000010011000100111100001010, 0b01000010011000100001100101011, 
 28,  167770623,  268417279,  251625183,  267812847,  251625342,  268107503,  268401533,  268106623,  268167935,  268169023,  266268607,  268397439,  268367103,  268364287,  268420991,  268396542,  268402542,  251588606,  250867711,  251100159,  267643903,  251129851,  267770879,  268162047,  264233983,  200801278,  134212606,  134209470,  260038559,  268427069,  268164799,  268359615,  268367868,  268430047,  251587583,  267318271,  260045551,  251653103,  268381183,  201319423,  167768047,  268430317,  268433727,  268171774,  268431869,  251657181,  251330527,  268206047,  268075005, 
 28, 0b1001111111111111100111111111, 0b1111111111111011100011111111, 0b1110111111110111111011011111, 0b1111111101100111111111101111, 0b1110111111110111111101111110, 0b1111111110101111111011101111, 0b1111111111110111101101111101, 0b1111111110101111101101111111, 0b1111111110111110101011111111, 0b1111111110111110111100111111, 0b1111110111101110111110111111, 0b1111111111110110101101111111, 0b1111111111101111010011111111, 0b1111111111101110100111111111, 0b1111111111111100011101111111, 0b1111111111110110011111111110, 0b1111111111110111111101101110, 0b1110111111101110111111111110, 0b1110111100111110111111111111, 0b1110111101110111101111111111, 0b1111111100111110101111111111, 0b1110111101111110111111111011, 0b1111111101011101101111111111, 0b1111111110111101001111111111, 0b1111101111111110001111111111, 0b1011111101111111101111111110, 0b0111111111111110101111111110, 0b0111111111111101111110111110, 0b1111011111111101111110011111, 0b1111111111111101111100111101, 0b1111111110111101111010111111, 0b1111111111101101011110111111, 0b1111111111101111011111111100, 0b1111111111111110101011011111, 0b1110111111101110101111111111, 0b1111111011101111001111111111, 0b1111011111111111101011101111, 0b1110111111111110101111101111, 0b1111111111110010101111111111, 0b1011111111111110001111111111, 0b1001111111111110111111101111, 0b1111111111111110101111101101, 0b1111111111111111100100111111, 0b1111111110111111100111111110, 0b1111111111111111000111111101, 0b1110111111111111101111011101, 0b1110111110101111111111011111, 0b1111111111000111111111011111, 0b1111111110100111111111111101, 
 27,  54572130,  54597218,  46214666,  12889130,  12659758,  12903462,  4467759,  4506671,  4494395,  4502627,  4306499,  38581344,  54642242,  50443842,  38249568,  12825696,  13481024,  13546560,  4699232,  37860464,  46251024,  42138640,  37862560,  33668304,  50459840,  46314576,  58899472,  59550736,  57453568,  7253024,  51293216,  17739520,  5025538,  33602786,  16837858,  16839920,  44088480,  41991314,  42056896,  42054725,  100791364,  100793346,  6337642,  179306,  50394161,  33618994,  42008066,  46198280,  12889864, 
 27, 0b011010000001011010001100010, 0b011010000010001011001100010, 0b010110000010010111000001010, 0b000110001001010110000101010, 0b000110000010010110000101110, 0b000110001001110010000100110, 0b000010001000010110000101111, 0b000010001001100010000101111, 0b000010001001001010000111011, 0b000010001001011010001100011, 0b000010000011011011001000011, 0b010010011001011010001100000, 0b011010000011100011001000010, 0b011000000011011011001000010, 0b010010001111010010001100000, 0b000110000111011010001100000, 0b000110011011011010001000000, 0b000110011101011010001000000, 0b000010001111011010001100000, 0b010010000011011010001110000, 0b010110000011011110000010000, 0b010100000101111110000010000, 0b010010000011011110010100000, 0b010000000011011110011010000, 0b011000000011111010011000000, 0b010110000101011010001010000, 0b011100000101011110000010000, 0b011100011001010110000010000, 0b011011011001010110000000000, 0b000011011101010110000100000, 0b011000011101010110000100000, 0b001000011101010111100000000, 0b000010011001010111100000010, 0b010000000001011110011100010, 0b001000000001110110011100010, 0b001000000001111010011110000, 0b010101000001011110010100000, 0b010100000001011110010010010, 0b010100000011011110011000000, 0b010100000011011010001000101, 0b110000000011111010001000100, 0b110000000011111110000000010, 0b000011000001011010001101010, 0b000000000101011110001101010, 0b011000000001111010000110001, 0b010000000001111110000110010, 0b010100000001111111000000010, 0b010110000001110111000001000, 0b000110001001010111100001000, 
 26,  65009818,  50067611,  17823999,  17816319,  17759741,  1047535,  17629151,  34536415,  47102942,  63941086,  62630366,  64987390,  66844821,  66840734,  63922431,  63909118,  48195838,  63922942,  63940318,  64988920,  57650936,  56880892,  63678203,  65776378,  65727166,  63943930,  55426810,  38518778,  38502390,  55300086,  55246834,  56359410,  56350971,  63892442,  67038160,  65989179,  63830746,  63894266,  57600762,  36630522,  45016062,  47117294,  56617182,  65923294,  65856127,  63759358,  63826174,  59767030,  52418807, 
 26, 0b11110111111111100010011010, 0b10111110111111100010011011, 0b01000011111111100011111111, 0b01000011111101101011111111, 0b01000011101111110111111101, 0b00000011111111101111101111, 0b01000011001111111111011111, 0b10000011101111101111011111, 0b10110011101011101111011110, 0b11110011111010100111011110, 0b11101110111010100111011110, 0b11110111111010000011111110, 0b11111110111111100010010101, 0b11111110111110100010011110, 0b11110011110110000011111111, 0b11110011110010110011111110, 0b10110111110110100011111110, 0b11110011110110001011111110, 0b11110011111010011011011110, 0b11110111111010011011111000, 0b11011011111010111011111000, 0b11011000111110111011111100, 0b11110010111010011011111011, 0b11111010111010101011111010, 0b11111010101110101010111110, 0b11110011111011010011111010, 0b11010011011011111011111010, 0b10010010111011111111111010, 0b10010010110111111111110110, 0b11010010111100111111110110, 0b11010010101111111111110010, 0b11010110111111100111110010, 0b11010110111101100011111011, 0b11110011101110101111011010, 0b11111111101110101111010000, 0b11111011101110101000111011, 0b11110011011111101011011010, 0b11110011101111001011111010, 0b11011011101110101011111010, 0b10001011101110111111111010, 0b10101011101110001111111110, 0b10110011101111001111101110, 0b11010111111110100011011110, 0b11111011011110100011011110, 0b11111011001110001001111111, 0b11110011001110001111111110, 0b11110011011110100011111110, 0b11100011111111100011110110, 0b11000111111101100011110111, 
 25,  13588291,  9428739,  29337613,  9435196,  12495133,  13609021,  12487484,  13536061,  13600565,  13588273,  13629185,  7304497,  1044355,  1046339,  8156977,  18675505,  3077937,  915251,  5191475,  5207339,  1013519,  997271,  13562155,  9434379,  10482755,  5239339,  1046062,  3405358,  4174382,  10482190,  4060686,  20902414,  12507662,  12572417,  3135267,  11525187,  29283587,  27252481,  10450691,  27259650,  26194826,  26188681,  13522802,  2054002,  32480321,  28286721,  11508493,  11515919,  12580876, 
 25, 0b0110011110101011101000011, 0b0100011111101111100000011, 0b1101111111010100000001101, 0b0100011111111100000111100, 0b0101111101010100100011101, 0b0110011111010100000111101, 0b0101111101000101100111100, 0b0110011101000101100111101, 0b0110011111000011100110101, 0b0110011110101011100110001, 0b0110011111111011100000001, 0b0011011110111010100110001, 0b0000011111110111110000011, 0b0000011111111011101000011, 0b0011111000111011100110001, 0b1000111001111011100110001, 0b0001011101111011100110001, 0b0000011011111011100110011, 0b0010011110011011100110011, 0b0010011110111010100101011, 0b0000011110111011100001111, 0b0000011110011011110010111, 0b0110011101111000100101011, 0b0100011111111010100001011, 0b0100111111111010001000011, 0b0010011111111001000101011, 0b0000011111111011000101110, 0b0001100111111011000101110, 0b0001111111011001000101110, 0b0100111111111001000001110, 0b0001111011111011000001110, 0b1001111101111001000001110, 0b0101111101101101000001110, 0b0101111111101011100000001, 0b0001011111101011100100011, 0b0101011111101110001000011, 0b1101111101101010100000011, 0b1100111111101011100000001, 0b0100111110111011100000011, 0b1100111111111001100000010, 0b1100011111011001110001010, 0b1100011111001101110001001, 0b0110011100101011101110010, 0b0000111110101011101110010, 0b1111011111001110001000001, 0b1101011111001111100000001, 0b0101011111001101100001101, 0b0101011111011100000001111, 0b0101111111111100000001100, 
 24,  3471314,  3473136,  3489720,  2834360,  4009657,  2735929,  2961211,  2740027,  2686771,  1638067,  1900258,  3710707,  3995568,  3994866,  12355315,  16551154,  7118578,  3972850,  5807859,  1285875,  1179378,  261366,  2338547,  7450354,  3456754,  2072304,  1285878,  1785526,  1851063,  1841919,  1851126,  1847166,  2961276,  3227514,  7420793,  3489762,  1130351,  1392443,  1425018,  1375865,  3473010,  3620466,  3473043,  3964566,  2441178,  2572090,  4009786,  3483579,  4009912, 
 24, 0b001101001111011111010010, 0b001101001111111011110000, 0b001101010011111110111000, 0b001010110011111110111000, 0b001111010010111010111001, 0b001010011011111100111001, 0b001011010010111100111011, 0b001010011100111100111011, 0b001010001111111100110011, 0b000110001111111010110011, 0b000111001111111011100010, 0b001110001001111011110011, 0b001111001111011110110000, 0b001111001111010011110010, 0b101111001000011011110011, 0b111111001000110011110010, 0b011011001001111011110010, 0b001111001001111011110010, 0b010110001001111011110011, 0b000100111001111011110011, 0b000100011111111011110010, 0b000000111111110011110110, 0b001000111010111011110011, 0b011100011010111011110010, 0b001101001011111011110010, 0b000111111001111011110000, 0b000100111001111011110110, 0b000110110011111010110110, 0b000111000011111010110111, 0b000111000001101011111111, 0b000111000011111011110110, 0b000111000010111101111110, 0b001011010010111101111100, 0b001100010011111101111010, 0b011100010011101101111001, 0b001101010011111111100010, 0b000100010011111101101111, 0b000101010011111100111011, 0b000101011011111001111010, 0b000101001111111001111001, 0b001101001111111001110010, 0b001101110011111001110010, 0b001101001111111010010011, 0b001111000111111010010110, 0b001001010011111111011010, 0b001001110011111100111010, 0b001111010010111100111010, 0b001101010010011110111011, 0b001111010010111110111000, 
 23,  5455620,  5470756,  2128742,  6974217,  2153315,  2652941,  2153294,  6323020,  6519108,  7044352,  5994240,  7041320,  5976868,  5501700,  2584873,  7807273,  7299113,  6501673,  6519080,  7075848,  6552320,  7666432,  1046537,  7075841,  6552068,  2865800,  6536832,  6500048,  6368922,  6499544,  6438128,  6437939,  6438200,  7396116,  7401876,  6419268,  5372180,  7600384,  7518980,  7574278,  3382050,  3463970,  5471520,  5730593,  6417158,  7461634,  5307142,  6454022,  6455048, 
